Time stamp,Field thermal power leaving in steam | (MWt),Field timestep-averaged outlet quality,Field timestep-averaged outlet temperature | (C),Field total mass flow rate | (kg/s)
"Dec 20, 12:00 am",-0.00228394,-1,102.77,0.29554
"Dec 20, 01:00 am",-0.0020062,-1,92.7463,0.29554
"Dec 20, 02:00 am",-0.00177261,-1,83.9159,0.29554
"Dec 20, 03:00 am",-0.0015745,-1,76.0998,0.29554
"Dec 20, 04:00 am",-0.00140502,-1,69.1519,0.29554
"Dec 20, 05:00 am",-0.00128057,-1,62.8916,0.29554
"Dec 20, 06:00 am",-0.00113009,-1,57.3015,0.29554
"Dec 20, 07:00 am",-0.000999293,-1,52.387,0.29554
"Dec 20, 08:00 am",0.00810088,-1,72.514,0.29554
"Dec 20, 09:00 am",0.011127,-1,121.573,0.29554
"Dec 20, 10:00 am",0.499743,0.321252,269.965,0.595669
"Dec 20, 11:00 am",0.78033,0.623987,269.965,0.652852
"Dec 20, 12:00 pm",0.931201,0.624042,269.965,0.779066
"Dec 20, 01:00 pm",0.961355,0.623945,269.965,0.804408
"Dec 20, 02:00 pm",0.970149,0.623884,269.965,0.811837
"Dec 20, 03:00 pm",0.713129,0.624044,269.965,0.596567
"Dec 20, 04:00 pm",0.086453,0.0612743,269.965,0.29554
"Dec 20, 05:00 pm",0.00789491,-1,235.737,0.29554
"Dec 20, 06:00 pm",-0.00952322,-1,206.52,0.29554
"Dec 20, 07:00 pm",-0.00457039,-1,181.052,0.29554
"Dec 20, 08:00 pm",-0.00407188,-1,161.521,0.29554
"Dec 20, 09:00 pm",-0.00346502,-1,144.151,0.29554
"Dec 20, 10:00 pm",-0.00296421,-1,129.317,0.29554
"Dec 20, 11:00 pm",-0.00259732,-1,116.373,0.29554
"Dec 21, 12:00 am",-0.00226499,-1,105.037,0.29554
"Dec 21, 01:00 am",-0.00201474,-1,95.0343,0.29554
"Dec 21, 02:00 am",-0.00180369,-1,86.1014,0.29554
"Dec 21, 03:00 am",-0.00160091,-1,78.1495,0.29554
"Dec 21, 04:00 am",-0.00142765,-1,71.0871,0.29554
"Dec 21, 05:00 am",-0.00127855,-1,64.7883,0.29554
"Dec 21, 06:00 am",-0.00114927,-1,59.1515,0.29554
"Dec 21, 07:00 am",-0.0010161,-1,54.1495,0.29554
"Dec 21, 08:00 am",0.00279964,-1,59.8172,0.29554
"Dec 21, 09:00 am",0.000172904,-1,67.1157,0.29554
"Dec 21, 10:00 am",0.0377818,-1,167.431,0.29554
"Dec 21, 11:00 am",0.453678,0.552034,269.965,0.421206
"Dec 21, 12:00 pm",0.313159,0.539322,269.965,0.29554
"Dec 21, 01:00 pm",0.542758,0.623214,269.965,0.454519
"Dec 21, 02:00 pm",0.343445,0.603186,269.965,0.29554
"Dec 21, 03:00 pm",0.118464,0.128776,269.965,0.29554
"Dec 21, 04:00 pm",0.0143172,-1,240.331,0.29554
"Dec 21, 05:00 pm",-0.00943171,-1,212.58,0.29554
"Dec 21, 06:00 pm",-0.00493449,-1,185.22,0.29554
"Dec 21, 07:00 pm",-0.00423084,-1,164.847,0.29554
"Dec 21, 08:00 pm",-0.00359799,-1,146.802,0.29554
"Dec 21, 09:00 pm",-0.00306287,-1,131.456,0.29554
"Dec 21, 10:00 pm",-0.00265193,-1,118.175,0.29554
"Dec 21, 11:00 pm",-0.0023099,-1,106.613,0.29554
"Dec 22, 12:00 am",-0.00205245,-1,96.419,0.29554
"Dec 22, 01:00 am",-0.00181165,-1,87.3906,0.29554
"Dec 22, 02:00 am",-0.0016076,-1,79.4082,0.29554
"Dec 22, 03:00 am",-0.00143345,-1,72.3171,0.29554
"Dec 22, 04:00 am",-0.00128349,-1,65.9939,0.29554
"Dec 22, 05:00 am",-0.00117471,-1,60.2763,0.29554
"Dec 22, 06:00 am",-0.00105886,-1,55.1009,0.29554
"Dec 22, 07:00 am",-0.000937211,-1,50.5036,0.29554
"Dec 22, 08:00 am",0.0219847,-1,108.302,0.29554
"Dec 22, 09:00 am",0.464052,0.33531,269.965,0.554731
"Dec 22, 10:00 am",0.549128,0.623812,269.965,0.459485
"Dec 22, 11:00 am",0.0381241,-1,256.984,0.29554
"Dec 22, 12:00 pm",-0.0100606,-1,230.156,0.29554
"Dec 22, 01:00 pm",-0.00538031,-1,199.002,0.29554
"Dec 22, 02:00 pm",-0.000689049,-1,187.612,0.29554
"Dec 22, 03:00 pm",-0.00443688,-1,175.303,0.29554
"Dec 22, 04:00 pm",-0.00381945,-1,155.804,0.29554
"Dec 22, 05:00 pm",-0.00326135,-1,139.621,0.29554
"Dec 22, 06:00 pm",-0.0028484,-1,125.425,0.29554
"Dec 22, 07:00 pm",-0.00246796,-1,113.062,0.29554
"Dec 22, 08:00 pm",-0.0021852,-1,102.198,0.29554
"Dec 22, 09:00 pm",-0.00192309,-1,92.6027,0.29554
"Dec 22, 10:00 pm",-0.00170216,-1,84.1385,0.29554
"Dec 22, 11:00 pm",-0.00151439,-1,76.6344,0.29554
