"Time stamp","Field thermal power leaving in steam | (MWt)","Field timestep-averaged outlet quality","Field timestep-averaged outlet temperature | (C)","Field total mass flow rate | (kg/s)"
"Jan 1, 12:00 am",-0.00656831,-1,215.299,0.29554
"Jan 1, 01:00 am",-0.00534479,-1,188.549,0.29554
"Jan 1, 02:00 am",-0.00441948,-1,166.665,0.29554
"Jan 1, 03:00 am",-0.00373115,-1,148.007,0.29554
"Jan 1, 04:00 am",-0.00318032,-1,132.057,0.29554
"Jan 1, 05:00 am",-0.0027435,-1,118.295,0.29554
"Jan 1, 06:00 am",-0.00238649,-1,106.335,0.29554
"Jan 1, 07:00 am",-0.00209148,-1,95.8766,0.29554
"Jan 1, 08:00 am",0.00113749,-1,94.7794,0.29554
"Jan 1, 09:00 am",0.0279707,-1,172.032,0.29554
"Jan 1, 10:00 am",0.390886,0.498717,269.965,0.397512
"Jan 1, 11:00 am",0.728617,0.622865,269.965,0.610494
"Jan 1, 12:00 pm",0.904123,0.623069,269.965,0.757394
"Jan 1, 01:00 pm",0.943236,0.624046,269.965,0.789135
"Jan 1, 02:00 pm",0.557632,0.623089,269.965,0.467056
"Jan 1, 03:00 pm",0.314646,0.542458,269.965,0.29554
"Jan 1, 04:00 pm",0.0158932,-1,241.452,0.29554
"Jan 1, 05:00 pm",-0.00894947,-1,215.294,0.29554
"Jan 1, 06:00 pm",-0.00503598,-1,188.392,0.29554
"Jan 1, 07:00 pm",-0.00423251,-1,167.835,0.29554
"Jan 1, 08:00 pm",-0.00360303,-1,149.836,0.29554
"Jan 1, 09:00 pm",-0.00309719,-1,134.401,0.29554
"Jan 1, 10:00 pm",-0.0026784,-1,120.994,0.29554
"Jan 1, 11:00 pm",-0.00233181,-1,109.33,0.29554
"Jan 2, 12:00 am",-0.00204581,-1,99.1182,0.29554
"Jan 2, 01:00 am",-0.00180585,-1,90.1281,0.29554
"Jan 2, 02:00 am",-0.00160267,-1,82.1756,0.29554
"Jan 2, 03:00 am",-0.00145147,-1,75.0476,0.29554
"Jan 2, 04:00 am",-0.00129909,-1,68.6446,0.29554
"Jan 2, 05:00 am",-0.00116704,-1,62.9195,0.29554
"Jan 2, 06:00 am",-0.00105214,-1,57.7821,0.29554
"Jan 2, 07:00 am",-0.000951464,-1,53.1595,0.29554
"Jan 2, 08:00 am",0.0151463,-1,92.4899,0.29554
"Jan 2, 09:00 am",0.360781,-0.19076,246.865,0.419264
"Jan 2, 10:00 am",0.713858,0.62372,269.965,0.597437
"Jan 2, 11:00 am",0.796289,0.625379,269.965,0.664965
"Jan 2, 12:00 pm",0.0481326,-1,263.787,0.29554
