"Time stamp","Field thermal power leaving in steam | (MWt)","Field timestep-averaged outlet quality","Field timestep-averaged outlet temperature | (C)","Field total mass flow rate | (kg/s)"
"Jan 3, 07:00 am",-0.000763455,-1,46.8446,0.267669
"Jan 3, 08:00 am",0.0184218,-1,100.103,0.267669
"Jan 3, 09:00 am",0.601909,0.492358,212.377,0.532627
"Jan 3, 10:00 am",0.391605,0.629921,212.377,0.293271
"Jan 3, 11:00 am",0.521503,0.630076,212.377,0.390472
"Jan 3, 12:00 pm",0.882847,0.630229,212.377,0.660913
"Jan 3, 01:00 pm",0.297736,0.511932,212.377,0.267669
"Jan 3, 02:00 pm",0.379587,0.629538,212.377,0.284425
"Jan 3, 03:00 pm",0.277746,0.472413,212.377,0.267669
"Jan 3, 04:00 pm",0.0182689,-1,195.407,0.267669
"Jan 3, 05:00 pm",-0.00584071,-1,176.106,0.267669
"Jan 3, 06:00 pm",-0.00345526,-1,154.738,0.267669
"Jan 3, 07:00 pm",-0.0027895,-1,139.368,0.267669
"Jan 3, 08:00 pm",-0.00251992,-1,125.53,0.267669
"Jan 3, 09:00 pm",-0.00216309,-1,113.41,0.267669
"Jan 3, 10:00 pm",-0.00189145,-1,102.871,0.267669
"Jan 3, 11:00 pm",-0.00166423,-1,93.5963,0.267669
"Jan 4, 12:00 am",-0.00147093,-1,85.408,0.267669
"Jan 4, 01:00 am",-0.00130691,-1,78.145,0.267669
"Jan 4, 02:00 am",-0.00116596,-1,71.6768,0.267669
"Jan 4, 03:00 am",-0.0010441,-1,65.8961,0.267669
"Jan 4, 04:00 am",-0.000938102,-1,60.7134,0.267669
"Jan 4, 05:00 am",-0.000827053,-1,56.1106,0.267669
"Jan 4, 06:00 am",-0.000747624,-1,52.0035,0.267669
"Jan 4, 07:00 am",-0.000660144,-1,48.3437,0.267669
"Jan 4, 08:00 am",0.00266703,-1,54.8492,0.267669
"Jan 4, 09:00 am",0.103351,-0.73076,168.682,0.27096
"Jan 4, 10:00 am",0.0200139,-1,196.864,0.267669
"Jan 4, 11:00 am",0.280423,0.484304,212.377,0.267669
"Jan 4, 12:00 pm",0.882401,0.630122,212.377,0.660678
"Jan 4, 01:00 pm",0.919338,0.630854,212.377,0.687625
"Jan 4, 02:00 pm",0.0207833,-1,197.506,0.267669
"Jan 4, 03:00 pm",0.633875,0.57152,212.377,0.515245
"Jan 4, 04:00 pm",0.0807719,0.0830127,212.377,0.267669
"Jan 4, 05:00 pm",0.0103714,-1,188.782,0.267669
"Jan 4, 06:00 pm",-0.00625704,-1,166.872,0.267669
"Jan 4, 07:00 pm",-0.0030515,-1,147.023,0.267669
"Jan 4, 08:00 pm",-0.00256432,-1,133.123,0.267669
"Jan 4, 09:00 pm",-0.00232496,-1,120.303,0.267669
"Jan 4, 10:00 pm",-0.0020199,-1,109.047,0.267669
"Jan 4, 11:00 pm",-0.00179786,-1,99.0944,0.267669
"Jan 5, 12:00 am",-0.00158473,-1,90.2625,0.267669
"Jan 5, 01:00 am",-0.00138254,-1,82.5197,0.267669
"Jan 5, 02:00 am",-0.00125124,-1,75.6249,0.267669
"Jan 5, 03:00 am",-0.00111818,-1,69.4245,0.267669
"Jan 5, 04:00 am",-0.00100241,-1,63.8789,0.267669
"Jan 5, 05:00 am",-0.000920458,-1,58.8432,0.267669
"Jan 5, 06:00 am",-0.000830006,-1,54.2682,0.267669
"Jan 5, 07:00 am",-0.000714575,-1,50.2554,0.267669
"Jan 5, 08:00 am",0.00488548,-1,63.2738,0.267669
"Jan 5, 09:00 am",0.00316875,-1,85.452,0.267669
"Jan 5, 10:00 am",0.187853,-0.458151,196.051,0.288034
"Jan 5, 11:00 am",0.314195,0.54447,212.377,0.267669
"Jan 5, 12:00 pm",0.267386,0.451932,212.377,0.267669
"Jan 5, 01:00 pm",0.232599,0.38316,212.377,0.267669
"Jan 5, 02:00 pm",0.244618,0.406921,212.377,0.267669
"Jan 5, 03:00 pm",0.121205,0.162946,212.377,0.267669
"Jan 5, 04:00 pm",0.0707165,0.0631341,212.377,0.267669
"Jan 5, 05:00 pm",0.00994881,-1,188.426,0.267669
"Jan 5, 06:00 pm",-0.00628298,-1,166.35,0.267669
"Jan 5, 07:00 pm",-0.0030757,-1,146.47,0.267669
"Jan 5, 08:00 pm",-0.00262935,-1,132.283,0.267669
"Jan 5, 09:00 pm",-0.00234847,-1,119.243,0.267669
"Jan 5, 10:00 pm",-0.00201658,-1,107.946,0.267669
"Jan 5, 11:00 pm",-0.00177291,-1,98.0757,0.267669
"Jan 6, 12:00 am",-0.00156348,-1,89.365,0.267669
"Jan 6, 01:00 am",-0.00138539,-1,81.6591,0.267669
"Jan 6, 02:00 am",-0.00121354,-1,74.8717,0.267669
"Jan 6, 03:00 am",-0.00108515,-1,68.8618,0.267669
"Jan 6, 04:00 am",-0.000955065,-1,63.5362,0.267669
"Jan 6, 05:00 am",-0.000860061,-1,58.796,0.267669
"Jan 6, 06:00 am",-0.000795025,-1,54.4666,0.267669
"Jan 6, 07:00 am",-0.00070178,-1,50.5704,0.267669
"Jan 6, 08:00 am",0.00377013,-1,60.2779,0.267669
"Jan 6, 09:00 am",0.00606145,-1,88.2464,0.267669
"Jan 6, 10:00 am",0.111315,-0.731277,203.997,0.267669
"Jan 6, 11:00 am",0.0154803,-1,193.073,0.267669
"Jan 6, 12:00 pm",-0.0051508,-1,175.34,0.267669
"Jan 6, 01:00 pm",0.314174,0.454273,212.377,0.30693
"Jan 6, 02:00 pm",0.0152265,-1,192.86,0.267669
"Jan 6, 03:00 pm",0.0446152,-0.616117,206.718,0.267669
"Jan 6, 04:00 pm",0.0138007,-1,191.664,0.267669
"Jan 6, 05:00 pm",-0.00599279,-1,171.196,0.267669
"Jan 6, 06:00 pm",-0.00329086,-1,150.62,0.267669
"Jan 6, 07:00 pm",-0.00266671,-1,135.913,0.267669
"Jan 6, 08:00 pm",-0.00241243,-1,122.647,0.267669
"Jan 6, 09:00 pm",-0.0020973,-1,110.959,0.267669
"Jan 6, 10:00 pm",-0.00183785,-1,100.719,0.267669
"Jan 6, 11:00 pm",-0.0016405,-1,91.6315,0.267669
"Jan 7, 12:00 am",-0.00145111,-1,83.5515,0.267669
"Jan 7, 01:00 am",-0.0012898,-1,76.3836,0.267669
"Jan 7, 02:00 am",-0.00115129,-1,69.9972,0.267669
"Jan 7, 03:00 am",-0.00103137,-1,64.2876,0.267669
"Jan 7, 04:00 am",-0.000927005,-1,59.1669,0.267669
"Jan 7, 05:00 am",-0.00083566,-1,54.5614,0.267669
"Jan 7, 06:00 am",-0.000755327,-1,50.4089,0.267669
"Jan 7, 07:00 am",-0.000684374,-1,46.6561,0.267669
"Jan 7, 08:00 am",0.00270156,-1,53.2067,0.267669
"Jan 7, 09:00 am",0.241824,-0.457775,193.923,0.318402
"Jan 7, 10:00 am",0.379432,0.629848,212.377,0.284184
"Jan 7, 11:00 am",0.0122905,-1,190.396,0.267669
"Jan 7, 12:00 pm",0.0746612,-0.399376,206.036,0.267669
"Jan 7, 01:00 pm",0.072448,0.066557,212.377,0.267669
"Jan 7, 02:00 pm",0.19419,0.307229,212.377,0.267669
"Jan 7, 03:00 pm",0.345513,0.606382,212.377,0.267669
"Jan 7, 04:00 pm",0.0152482,-1,192.878,0.267669
"Jan 7, 05:00 pm",-0.00587755,-1,173.006,0.267669
"Jan 7, 06:00 pm",-0.00342692,-1,152.081,0.267669
"Jan 7, 07:00 pm",-0.00278038,-1,136.697,0.267669
"Jan 7, 08:00 pm",-0.0024735,-1,123.02,0.267669
"Jan 7, 09:00 pm",-0.00212783,-1,111.102,0.267669
"Jan 7, 10:00 pm",-0.00186228,-1,100.722,0.267669
"Jan 7, 11:00 pm",-0.00163951,-1,91.5836,0.267669
"Jan 8, 12:00 am",-0.00145007,-1,83.5112,0.267669
"Jan 8, 01:00 am",-0.00128906,-1,76.3476,0.267669
"Jan 8, 02:00 am",-0.00117041,-1,69.9035,0.267669
"Jan 8, 03:00 am",-0.00104812,-1,64.0971,0.267669
"Jan 8, 04:00 am",-0.000941493,-1,58.894,0.267669
"Jan 8, 05:00 am",-0.000848438,-1,54.2161,0.267669
"Jan 8, 06:00 am",-0.000766581,-1,49.9997,0.267669
"Jan 8, 07:00 am",-0.000694339,-1,46.1905,0.267669
"Jan 8, 08:00 am",0.0186656,-1,100.327,0.267669
"Jan 8, 09:00 am",0.637416,0.503876,212.377,0.555132
"Jan 8, 10:00 am",1.00946,0.630098,212.377,0.755848
"Jan 8, 11:00 am",0.99177,0.630434,212.377,0.742248
"Jan 8, 12:00 pm",0.958691,0.630695,212.377,0.717224
"Jan 8, 01:00 pm",0.994062,0.630385,212.377,0.744015
"Jan 8, 02:00 pm",0.687188,0.630323,212.377,0.514359
"Jan 8, 03:00 pm",0.503407,0.629696,212.377,0.377125
"Jan 8, 04:00 pm",0.1002,0.12142,212.377,0.267669
"Jan 8, 05:00 pm",0.0105496,-1,188.932,0.267669
"Jan 8, 06:00 pm",-0.00618222,-1,167.349,0.267669
"Jan 8, 07:00 pm",-0.00318248,-1,147.168,0.267669
"Jan 8, 08:00 pm",-0.0026366,-1,132.743,0.267669
"Jan 8, 09:00 pm",-0.00238319,-1,119.601,0.267669
"Jan 8, 10:00 pm",-0.00207123,-1,108.05,0.267669
"Jan 8, 11:00 pm",-0.00183993,-1,97.8513,0.267669
"Jan 9, 12:00 am",-0.00162051,-1,88.8124,0.267669
"Jan 9, 01:00 am",-0.00143387,-1,80.8283,0.267669
"Jan 9, 02:00 am",-0.00127532,-1,73.7399,0.267669
"Jan 9, 03:00 am",-0.00113874,-1,67.4224,0.267669
"Jan 9, 04:00 am",-0.00102051,-1,61.7726,0.267669
"Jan 9, 05:00 am",-0.000917542,-1,56.7041,0.267669
"Jan 9, 06:00 am",-0.00082737,-1,52.1446,0.267669
"Jan 9, 07:00 am",-0.000730178,-1,48.0881,0.267669
"Jan 9, 08:00 am",0.0089243,-1,73.1463,0.267669
"Jan 9, 09:00 am",0.300332,-0.187089,196.348,0.336629
"Jan 9, 10:00 am",0.682485,0.630433,212.377,0.510759
"Jan 9, 11:00 am",0.397871,0.629549,212.377,0.298121
"Jan 9, 12:00 pm",0.961224,0.630248,212.377,0.719574
"Jan 9, 01:00 pm",1.00112,0.630314,212.377,0.74937
"Jan 9, 02:00 pm",1.00978,0.630248,212.377,0.755926
"Jan 9, 03:00 pm",0.806873,0.631031,212.377,0.603347
"Jan 9, 04:00 pm",0.228066,0.3742,212.377,0.267669
"Jan 9, 05:00 pm",0.0111995,-1,189.479,0.267669
"Jan 9, 06:00 pm",-0.00598014,-1,168.666,0.267669
"Jan 9, 07:00 pm",-0.00332177,-1,148.416,0.267669
"Jan 9, 08:00 pm",-0.00274797,-1,133.262,0.267669
"Jan 9, 09:00 pm",-0.00243476,-1,119.758,0.267669
"Jan 9, 10:00 pm",-0.00212111,-1,107.935,0.267669
"Jan 9, 11:00 pm",-0.00185748,-1,97.5711,0.267669
"Jan 10, 12:00 am",-0.001657,-1,88.3826,0.267669
"Jan 10, 01:00 am",-0.00146537,-1,80.2159,0.267669
"Jan 10, 02:00 am",-0.00132253,-1,72.9104,0.267669
"Jan 10, 03:00 am",-0.00117973,-1,66.357,0.267669
"Jan 10, 04:00 am",-0.00107535,-1,60.4445,0.267669
"Jan 10, 05:00 am",-0.000965616,-1,55.101,0.267669
"Jan 10, 06:00 am",-0.00086942,-1,50.3023,0.267669
"Jan 10, 07:00 am",-0.000749188,-1,46.0917,0.267669
"Jan 10, 08:00 am",0.020001,-1,104.06,0.267669
"Jan 10, 09:00 am",0.682603,0.535527,212.377,0.57524
"Jan 10, 10:00 am",1.03568,0.630698,212.377,0.774822
"Jan 10, 11:00 am",0.98625,0.630508,212.377,0.73804
"Jan 10, 12:00 pm",0.603183,0.630901,212.377,0.451107
"Jan 10, 01:00 pm",0.465574,0.629997,212.377,0.348632
"Jan 10, 02:00 pm",0.412164,0.629776,212.377,0.308732
"Jan 10, 03:00 pm",0.786823,0.630075,212.377,0.589149
"Jan 10, 04:00 pm",0.23278,0.383519,212.377,0.267669
"Jan 10, 05:00 pm",0.0112356,-1,189.509,0.267669
"Jan 10, 06:00 pm",-0.00597079,-1,168.731,0.267669
"Jan 10, 07:00 pm",-0.00332525,-1,148.487,0.267669
"Jan 10, 08:00 pm",-0.00272399,-1,133.396,0.267669
"Jan 10, 09:00 pm",-0.00243918,-1,119.937,0.267669
"Jan 10, 10:00 pm",-0.0021018,-1,108.161,0.267669
"Jan 10, 11:00 pm",-0.0018408,-1,97.8949,0.267669
"Jan 11, 12:00 am",-0.00164317,-1,88.7865,0.267669
"Jan 11, 01:00 am",-0.00145349,-1,80.6882,0.267669
"Jan 11, 02:00 am",-0.00131231,-1,73.4415,0.267669
"Jan 11, 03:00 am",-0.00117092,-1,66.9389,0.267669
"Jan 11, 04:00 am",-0.00104831,-1,61.1306,0.267669
"Jan 11, 05:00 am",-0.000941891,-1,55.9237,0.267669
"Jan 11, 06:00 am",-0.000848737,-1,51.2427,0.267669
"Jan 11, 07:00 am",-0.000731076,-1,47.1352,0.267669
"Jan 11, 08:00 am",0.0188567,-1,101.748,0.267669
"Jan 11, 09:00 am",0.632126,0.507219,212.377,0.548987
"Jan 11, 10:00 am",1.00166,0.630184,212.377,0.749915
"Jan 11, 11:00 am",0.997706,0.630381,212.377,0.746747
"Jan 11, 12:00 pm",0.97582,0.630579,212.377,0.73016
"Jan 11, 01:00 pm",1.01019,0.630239,212.377,0.756243
"Jan 11, 02:00 pm",1.01234,0.630235,212.377,0.757858
"Jan 11, 03:00 pm",0.813704,0.630967,212.377,0.608511
"Jan 11, 04:00 pm",0.25117,0.419875,212.377,0.267669
"Jan 11, 05:00 pm",0.0115312,-1,189.758,0.267669
"Jan 11, 06:00 pm",-0.00590906,-1,169.214,0.267669
"Jan 11, 07:00 pm",-0.0033201,-1,149.088,0.267669
"Jan 11, 08:00 pm",-0.00271522,-1,134.031,0.267669
"Jan 11, 09:00 pm",-0.00243064,-1,120.626,0.267669
"Jan 11, 10:00 pm",-0.0020955,-1,108.89,0.267669
"Jan 11, 11:00 pm",-0.00183529,-1,98.6568,0.267669
"Jan 12, 12:00 am",-0.00163849,-1,89.577,0.267669
"Jan 12, 01:00 am",-0.0014495,-1,81.5028,0.267669
"Jan 12, 02:00 am",-0.00128844,-1,74.3401,0.267669
"Jan 12, 03:00 am",-0.00116997,-1,67.8967,0.267669
"Jan 12, 04:00 am",-0.0010671,-1,62.0306,0.267669
"Jan 12, 05:00 am",-0.000977146,-1,56.6711,0.267669
"Jan 12, 06:00 am",-0.000879699,-1,51.8136,0.267669
"Jan 12, 07:00 am",-0.000757997,-1,47.5532,0.267669
"Jan 12, 08:00 am",0.0204047,-1,106.671,0.267669
"Jan 12, 09:00 am",0.699536,0.524375,212.377,0.592013
"Jan 12, 10:00 am",1.05377,0.630704,212.377,0.788357
"Jan 12, 11:00 am",1.03631,0.630863,212.377,0.775114
"Jan 12, 12:00 pm",1.00785,0.630306,212.377,0.754423
"Jan 12, 01:00 pm",1.03443,0.630844,212.377,0.773728
"Jan 12, 02:00 pm",1.04537,0.630821,212.377,0.781939
"Jan 12, 03:00 pm",0.840158,0.631027,212.377,0.628242
"Jan 12, 04:00 pm",0.264404,0.446037,212.377,0.267669
"Jan 12, 05:00 pm",0.0117883,-1,189.974,0.267669
"Jan 12, 06:00 pm",-0.00585733,-1,169.627,0.267669
"Jan 12, 07:00 pm",-0.00331129,-1,149.612,0.267669
"Jan 12, 08:00 pm",-0.00270429,-1,134.607,0.267669
"Jan 12, 09:00 pm",-0.0024209,-1,121.262,0.267669
"Jan 12, 10:00 pm",-0.00211152,-1,109.5,0.267669
"Jan 12, 11:00 pm",-0.00184869,-1,99.1894,0.267669
"Jan 13, 12:00 am",-0.00164965,-1,90.0469,0.267669
"Jan 13, 01:00 am",-0.00145906,-1,81.9189,0.267669
"Jan 13, 02:00 am",-0.00131705,-1,74.6467,0.267669
"Jan 13, 03:00 am",-0.00119491,-1,68.0601,0.267669
"Jan 13, 04:00 am",-0.00108869,-1,62.0716,0.267669
"Jan 13, 05:00 am",-0.000977084,-1,56.6638,0.267669
"Jan 13, 06:00 am",-0.000898087,-1,51.7508,0.267669
"Jan 13, 07:00 am",-0.000774247,-1,47.3967,0.267669
"Jan 13, 08:00 am",0.019814,-1,104.743,0.267669
"Jan 13, 09:00 am",0.676451,0.534657,212.377,0.57068
"Jan 13, 10:00 am",1.04287,0.630673,212.377,0.780235
"Jan 13, 11:00 am",1.02849,0.63007,212.377,0.770128
"Jan 13, 12:00 pm",1.00282,0.630348,212.377,0.750607
"Jan 13, 01:00 pm",1.03025,0.630027,212.377,0.771499
"Jan 13, 02:00 pm",1.03468,0.630849,212.377,0.773909
"Jan 13, 03:00 pm",0.829268,0.630442,212.377,0.620611
"Jan 13, 04:00 pm",0.266112,0.449414,212.377,0.267669
"Jan 13, 05:00 pm",0.011479,-1,189.714,0.267669
"Jan 13, 06:00 pm",-0.00590637,-1,169.175,0.267669
"Jan 13, 07:00 pm",-0.00337509,-1,148.898,0.267669
"Jan 13, 08:00 pm",-0.00276069,-1,133.563,0.267669
"Jan 13, 09:00 pm",-0.00246506,-1,119.954,0.267669
"Jan 13, 10:00 pm",-0.00212494,-1,108.048,0.267669
"Jan 13, 11:00 pm",-0.00185972,-1,97.6719,0.267669
"Jan 14, 12:00 am",-0.00165921,-1,88.4714,0.267669
"Jan 14, 01:00 am",-0.00146716,-1,80.2944,0.267669
"Jan 14, 02:00 am",-0.00132407,-1,72.9802,0.267669
"Jan 14, 03:00 am",-0.00118107,-1,66.4192,0.267669
"Jan 14, 04:00 am",-0.00105712,-1,60.5604,0.267669
"Jan 14, 05:00 am",-0.000968492,-1,55.2507,0.267669
"Jan 14, 06:00 am",-0.000872181,-1,50.4351,0.267669
"Jan 14, 07:00 am",-0.000751415,-1,46.2117,0.267669
"Jan 14, 08:00 am",0.0190433,-1,101.343,0.267669
"Jan 14, 09:00 am",0.640417,0.509638,212.377,0.554359
"Jan 14, 10:00 am",1.0207,0.629979,212.377,0.76439
"Jan 14, 11:00 am",0.999133,0.630371,212.377,0.747826
"Jan 14, 12:00 pm",0.986752,0.630477,212.377,0.738447
"Jan 14, 01:00 pm",1.01481,0.630188,212.377,0.759761
"Jan 14, 02:00 pm",1.04169,0.630814,212.377,0.779191
"Jan 14, 03:00 pm",0.844502,0.631,212.377,0.631515
"Jan 14, 04:00 pm",0.289956,0.496551,212.377,0.267669
"Jan 14, 05:00 pm",0.0116441,-1,189.853,0.267669
"Jan 14, 06:00 pm",-0.00590557,-1,169.337,0.267669
"Jan 14, 07:00 pm",-0.00337831,-1,149.036,0.267669
"Jan 14, 08:00 pm",-0.00276437,-1,133.683,0.267669
"Jan 14, 09:00 pm",-0.00246803,-1,120.058,0.267669
"Jan 14, 10:00 pm",-0.00215102,-1,108.065,0.267669
"Jan 14, 11:00 pm",-0.00190448,-1,97.4906,0.267669
"Jan 15, 12:00 am",-0.00169707,-1,88.071,0.267669
"Jan 15, 01:00 am",-0.00149924,-1,79.7097,0.267669
"Jan 15, 02:00 am",-0.00133114,-1,72.3011,0.267669
"Jan 15, 03:00 am",-0.00118701,-1,65.7073,0.267669
"Jan 15, 04:00 am",-0.00106243,-1,59.8178,0.267669
"Jan 15, 05:00 am",-0.000954159,-1,54.5405,0.267669
"Jan 15, 06:00 am",-0.000859525,-1,49.7978,0.267669
"Jan 15, 07:00 am",-0.000758409,-1,45.5805,0.267669
"Jan 15, 08:00 am",0.00578737,-1,61.2022,0.267669
"Jan 15, 09:00 am",0.541856,0.431879,212.377,0.450958
"Jan 15, 10:00 am",1.07631,0.630732,212.377,0.805187
"Jan 15, 11:00 am",1.04805,0.630827,212.377,0.783941
"Jan 15, 12:00 pm",1.02679,0.630094,212.377,0.768828
"Jan 15, 01:00 pm",1.05204,0.630835,212.377,0.786916
"Jan 15, 02:00 pm",1.05884,0.630112,212.377,0.792809
"Jan 15, 03:00 pm",0.850373,0.630981,212.377,0.635922
"Jan 15, 04:00 pm",0.160987,0.24159,212.377,0.267669
"Jan 15, 05:00 pm",0.0108615,-1,189.194,0.267669
"Jan 15, 06:00 pm",-0.00608487,-1,167.994,0.267669
"Jan 15, 07:00 pm",-0.00325575,-1,147.747,0.267669
"Jan 15, 08:00 pm",-0.002703,-1,132.92,0.267669
"Jan 15, 09:00 pm",-0.00240626,-1,119.58,0.267669
"Jan 15, 10:00 pm",-0.00209385,-1,107.907,0.267669
"Jan 15, 11:00 pm",-0.00183556,-1,97.6711,0.267669
"Jan 16, 12:00 am",-0.00161663,-1,88.6564,0.267669
"Jan 16, 01:00 am",-0.00145181,-1,80.6246,0.267669
"Jan 16, 02:00 am",-0.00129077,-1,73.4459,0.267669
"Jan 16, 03:00 am",-0.00113222,-1,67.1141,0.267669
"Jan 16, 04:00 am",-0.00101479,-1,61.4983,0.267669
"Jan 16, 05:00 am",-0.000912656,-1,56.4574,0.267669
"Jan 16, 06:00 am",-0.000823019,-1,51.9223,0.267669
"Jan 16, 07:00 am",-0.000726375,-1,47.8873,0.267669
"Jan 16, 08:00 am",0.0194345,-1,104.208,0.267669
"Jan 16, 09:00 am",0.657032,0.524626,212.377,0.559761
"Jan 16, 10:00 am",1.03372,0.630684,212.377,0.773373
"Jan 16, 11:00 am",0.75889,0.630785,212.377,0.567661
"Jan 16, 12:00 pm",0.577728,0.629719,212.377,0.432791
"Jan 16, 01:00 pm",0.65507,0.630903,212.377,0.489914
"Jan 16, 02:00 pm",0.742457,0.629962,212.377,0.556015
"Jan 16, 03:00 pm",0.0375144,-1,211.34,0.267669
"Jan 16, 04:00 pm",0.0720745,0.0658186,212.377,0.267669
"Jan 16, 05:00 pm",0.00925686,-1,187.843,0.267669
"Jan 16, 06:00 pm",-0.00636215,-1,165.421,0.267669
"Jan 16, 07:00 pm",-0.0031777,-1,145.17,0.267669
"Jan 16, 08:00 pm",-0.00272302,-1,130.417,0.267669
"Jan 16, 09:00 pm",-0.00241707,-1,116.962,0.267669
"Jan 16, 10:00 pm",-0.00207581,-1,105.32,0.267669
"Jan 16, 11:00 pm",-0.00182226,-1,95.1582,0.267669
"Jan 17, 12:00 am",-0.00160526,-1,86.2025,0.267669
"Jan 17, 01:00 am",-0.00142113,-1,78.2875,0.267669
"Jan 17, 02:00 am",-0.00128469,-1,71.1954,0.267669
"Jan 17, 03:00 am",-0.00116681,-1,64.7653,0.267669
"Jan 17, 04:00 am",-0.00104493,-1,58.9733,0.267669
"Jan 17, 05:00 am",-0.000938829,-1,53.7826,0.267669
"Jan 17, 06:00 am",-0.000846133,-1,49.1156,0.267669
"Jan 17, 07:00 am",-0.000764594,-1,44.9089,0.267669
"Jan 17, 08:00 am",0.0177328,-1,96.1495,0.267669
"Jan 17, 09:00 am",0.586485,0.474066,212.377,0.530129
"Jan 17, 10:00 am",0.995419,0.630193,212.377,0.745233
"Jan 17, 11:00 am",0.978862,0.630521,212.377,0.732496
"Jan 17, 12:00 pm",0.974723,0.630548,212.377,0.729371
"Jan 17, 01:00 pm",0.995871,0.630357,212.377,0.745399
"Jan 17, 02:00 pm",1.03938,0.630793,212.377,0.777489
"Jan 17, 03:00 pm",0.845111,0.630974,212.377,0.631993
"Jan 17, 04:00 pm",0.315397,0.546845,212.377,0.267669
"Jan 17, 05:00 pm",0.0111674,-1,189.452,0.267669
"Jan 17, 06:00 pm",-0.00598421,-1,168.634,0.267669
"Jan 17, 07:00 pm",-0.00343388,-1,148.046,0.267669
"Jan 17, 08:00 pm",-0.002814,-1,132.401,0.267669
"Jan 17, 09:00 pm",-0.00250669,-1,118.543,0.267669
"Jan 17, 10:00 pm",-0.00215969,-1,106.431,0.267669
"Jan 17, 11:00 pm",-0.00188878,-1,95.8835,0.267669
"Jan 18, 12:00 am",-0.00166191,-1,86.6062,0.267669
