"Time stamp","Field thermal power leaving in steam | (MWt)","Field timestep-averaged outlet quality","Field timestep-averaged outlet temperature | (C)","Field total mass flow rate | (kg/s)"
"Jan 1, 12:00 am",-0.00408741,-1,169.909,0.267669
"Jan 1, 01:00 am",-0.00348183,-1,150.316,0.267669
"Jan 1, 02:00 am",-0.0029328,-1,133.963,0.267669
"Jan 1, 03:00 am",-0.00253144,-1,119.837,0.267669
"Jan 1, 04:00 am",-0.00219156,-1,107.578,0.267669
"Jan 1, 05:00 am",-0.00191426,-1,96.881,0.267669
"Jan 1, 06:00 am",-0.00168279,-1,87.486,0.267669
"Jan 1, 07:00 am",-0.00148733,-1,79.1942,0.267669
"Jan 1, 08:00 am",0.00139014,-1,79.9573,0.267669
"Jan 1, 09:00 am",0.0411596,-1,172.439,0.267669
"Jan 1, 10:00 am",0.510185,0.62912,212.377,0.382515
"Jan 1, 11:00 am",0.756663,0.630271,212.377,0.566407
"Jan 1, 12:00 pm",0.932372,0.630667,212.377,0.697559
"Jan 1, 01:00 pm",0.971464,0.630554,212.377,0.726926
"Jan 1, 02:00 pm",0.585714,0.630948,212.377,0.438012
"Jan 1, 03:00 pm",0.342964,0.601343,212.377,0.267669
"Jan 1, 04:00 pm",0.0154727,-1,193.066,0.267669
"Jan 1, 05:00 pm",-0.00591068,-1,173.13,0.267669
"Jan 1, 06:00 pm",-0.00343023,-1,152.084,0.267669
"Jan 1, 07:00 pm",-0.00277933,-1,136.707,0.267669
"Jan 1, 08:00 pm",-0.00247408,-1,123.028,0.267669
"Jan 1, 09:00 pm",-0.00215171,-1,111.036,0.267669
"Jan 1, 10:00 pm",-0.00188242,-1,100.538,0.267669
"Jan 1, 11:00 pm",-0.00165631,-1,91.303,0.267669
"Jan 2, 12:00 am",-0.00146444,-1,83.1481,0.267669
"Jan 2, 01:00 am",-0.00130137,-1,75.9137,0.267669
"Jan 2, 02:00 am",-0.00116122,-1,69.4702,0.267669
"Jan 2, 03:00 am",-0.00105934,-1,63.6509,0.267669
"Jan 2, 04:00 am",-0.000951544,-1,58.3891,0.267669
"Jan 2, 05:00 am",-0.000857068,-1,53.6619,0.267669
"Jan 2, 06:00 am",-0.000774263,-1,49.402,0.267669
"Jan 2, 07:00 am",-0.000701126,-1,45.5543,0.267669
"Jan 2, 08:00 am",0.0139271,-1,85.6257,0.267669
"Jan 2, 09:00 am",0.498268,0.0844566,207.522,0.492241
"Jan 2, 10:00 am",0.742375,0.629986,212.377,0.555935
"Jan 2, 11:00 am",0.824556,0.630399,212.377,0.617122
"Jan 2, 12:00 pm",0.047685,0.0176029,212.377,0.267669
"Jan 2, 01:00 pm",0.374135,0.62285,212.377,0.28302
"Jan 2, 02:00 pm",0.514228,0.630025,212.377,0.385052
"Jan 2, 03:00 pm",0.735034,0.630429,212.377,0.550092
"Jan 2, 04:00 pm",0.164446,0.248428,212.377,0.267669
"Jan 2, 05:00 pm",0.0110454,-1,189.349,0.267669
"Jan 2, 06:00 pm",-0.00605182,-1,168.275,0.267669
"Jan 2, 07:00 pm",-0.00326716,-1,148.046,0.267669
"Jan 2, 08:00 pm",-0.00271039,-1,133.171,0.267669
"Jan 2, 09:00 pm",-0.00243683,-1,119.724,0.267669
"Jan 2, 10:00 pm",-0.00209597,-1,107.974,0.267669
"Jan 2, 11:00 pm",-0.00185948,-1,97.6627,0.267669
"Jan 3, 12:00 am",-0.00163727,-1,88.5277,0.267669
"Jan 3, 01:00 am",-0.00146918,-1,80.3964,0.267669
"Jan 3, 02:00 am",-0.00130576,-1,73.132,0.267669
"Jan 3, 03:00 am",-0.00116487,-1,66.6649,0.267669
"Jan 3, 04:00 am",-0.00104329,-1,60.8852,0.267669
"Jan 3, 05:00 am",-0.000937436,-1,55.7033,0.267669
"Jan 3, 06:00 am",-0.000844844,-1,51.0443,0.267669
