Time stamp,Field thermal power leaving in steam | (MWt),Field timestep-averaged outlet quality,Field timestep-averaged outlet temperature | (C),Field total mass flow rate | (kg/s)
"Jun 8, 12:00 am",-0.00118875,-1,95.7537,0.220082
"Jun 8, 01:00 am",-0.000984966,-1,88.9553,0.220082
"Jun 8, 02:00 am",-0.000903804,-1,82.9686,0.220082
"Jun 8, 03:00 am",-0.000831819,-1,77.4363,0.220082
"Jun 8, 04:00 am",-0.000760421,-1,72.3751,0.220082
"Jun 8, 05:00 am",-0.000669516,-1,67.8492,0.220082
"Jun 8, 06:00 am",0.0203717,-1,138.914,0.220082
"Jun 8, 07:00 am",0.987001,0.64736,212.377,0.601394
"Jun 8, 08:00 am",1.56026,0.605109,212.377,0.95651
"Jun 8, 09:00 am",1.84608,0.605801,212.377,1.13085
"Jun 8, 10:00 am",1.98609,0.605967,212.377,1.2164
"Jun 8, 11:00 am",2.02471,0.606042,212.377,1.23995
"Jun 8, 12:00 pm",2.07307,0.606101,212.377,1.26948
"Jun 8, 01:00 pm",1.9977,0.606052,212.377,1.22339
"Jun 8, 02:00 pm",1.92808,0.605987,212.377,1.18084
"Jun 8, 03:00 pm",1.72243,0.605982,212.377,1.05488
"Jun 8, 04:00 pm",1.34975,0.606005,212.377,0.826583
"Jun 8, 05:00 pm",0.766846,0.606009,212.377,0.469587
"Jun 8, 06:00 pm",0.142419,0.084278,212.377,0.220082
"Jun 8, 07:00 pm",0.0779914,-1,182.602,0.220082
"Jun 8, 08:00 pm",-0.00826112,-1,148.045,0.220082
"Jun 8, 09:00 pm",-0.0029329,-1,117.209,0.220082
"Jun 8, 10:00 pm",-0.000797168,-1,108.934,0.220082
"Jun 8, 11:00 pm",-0.00121112,-1,102.38,0.220082
"Jun 9, 12:00 am",-0.00114713,-1,94.5828,0.220082
"Jun 9, 01:00 am",-0.000965881,-1,87.9722,0.220082
"Jun 9, 02:00 am",-0.000888956,-1,82.0885,0.220082
"Jun 9, 03:00 am",-0.000818317,-1,76.6467,0.220082
"Jun 9, 04:00 am",-0.000748533,-1,71.6668,0.220082
"Jun 9, 05:00 am",-0.000659213,-1,67.2116,0.220082
"Jun 9, 06:00 am",0.0188137,-1,132.875,0.220082
"Jun 9, 07:00 am",0.916367,0.61334,212.377,0.574227
"Jun 9, 08:00 am",1.52451,0.605052,212.377,0.934651
"Jun 9, 09:00 am",1.82269,0.60657,212.377,1.11553
"Jun 9, 10:00 am",1.97786,0.605952,212.377,1.21138
"Jun 9, 11:00 am",2.0471,0.606058,212.377,1.25364
"Jun 9, 12:00 pm",2.10508,0.60614,212.377,1.28903
"Jun 9, 01:00 pm",2.03293,0.606088,212.377,1.24492
"Jun 9, 02:00 pm",1.98007,0.606021,212.377,1.21264
"Jun 9, 03:00 pm",1.78813,0.606353,212.377,1.09465
"Jun 9, 04:00 pm",1.43096,0.605532,212.377,0.876804
"Jun 9, 05:00 pm",0.849929,0.606099,212.377,0.520413
"Jun 9, 06:00 pm",0.162661,0.132947,212.377,0.220082
"Jun 9, 07:00 pm",0.0789883,-1,183.629,0.220082
"Jun 9, 08:00 pm",-0.00804319,-1,150.26,0.220082
"Jun 9, 09:00 pm",-0.00307053,-1,119.178,0.220082
"Jun 9, 10:00 pm",-0.000840741,-1,110.314,0.220082
"Jun 9, 11:00 pm",-0.00124173,-1,103.583,0.220082
"Jun 10, 12:00 am",-0.00120204,-1,95.4922,0.220082
"Jun 10, 01:00 am",-0.0010133,-1,88.5498,0.220082
"Jun 10, 02:00 am",-0.000928705,-1,82.3901,0.220082
"Jun 10, 03:00 am",-0.000837433,-1,76.7688,0.220082
"Jun 10, 04:00 am",-0.000765207,-1,71.6751,0.220082
"Jun 10, 05:00 am",-0.000658748,-1,67.1765,0.220082
"Jun 10, 06:00 am",0.0199056,-1,136.66,0.220082
"Jun 10, 07:00 am",0.965775,0.636419,212.377,0.593689
"Jun 10, 08:00 am",1.55926,0.605101,212.377,0.955903
"Jun 10, 09:00 am",1.85169,0.6058,212.377,1.13429
"Jun 10, 10:00 am",1.99953,0.605977,212.377,1.22462
"Jun 10, 11:00 am",2.05376,0.606069,212.377,1.2577
"Jun 10, 12:00 pm",2.10521,0.60614,212.377,1.28911
"Jun 10, 01:00 pm",2.0291,0.60608,212.377,1.24258
"Jun 10, 02:00 pm",1.96053,0.60601,212.377,1.20068
"Jun 10, 03:00 pm",1.76414,0.606163,212.377,1.0802
"Jun 10, 04:00 pm",1.4042,0.605796,212.377,0.860141
"Jun 10, 05:00 pm",0.820497,0.606014,212.377,0.50244
"Jun 10, 06:00 pm",0.156596,0.118365,212.377,0.220082
"Jun 10, 07:00 pm",0.07865,-1,183.28,0.220082
"Jun 10, 08:00 pm",-0.0081113,-1,149.54,0.220082
"Jun 10, 09:00 pm",-0.00303385,-1,118.511,0.220082
"Jun 10, 10:00 pm",-0.000844899,-1,109.745,0.220082
"Jun 10, 11:00 pm",-0.00125186,-1,102.946,0.220082
