Time stamp,Field thermal power leaving in steam | (MWt),Field timestep-averaged outlet quality,Field timestep-averaged outlet temperature | (C),Field total mass flow rate | (kg/s),
"Jun 8, 12:00 am",-0.00187674,-1,118.049,0.267669,
"Jun 8, 01:00 am",-0.00165328,-1,108.891,0.267669,
"Jun 8, 02:00 am",-0.00148342,-1,100.719,0.267669,
"Jun 8, 03:00 am",-0.00133734,-1,93.3577,0.267669,
"Jun 8, 04:00 am",-0.00121208,-1,86.6965,0.267669,
"Jun 8, 05:00 am",-0.00106446,-1,80.7631,0.267669,
"Jun 8, 06:00 am",0.0270259,-1,152.701,0.267669,
"Jun 8, 07:00 am",0.980952,0.628736,212.377,0.735918,
"Jun 8, 08:00 am",1.55383,0.630309,212.377,1.16318,
"Jun 8, 09:00 am",1.83977,0.63143,212.377,1.3751,
"Jun 8, 10:00 am",1.97994,0.631669,212.377,1.4794,
"Jun 8, 11:00 am",2.0187,0.631782,212.377,1.50812,
"Jun 8, 12:00 pm",2.06705,0.631895,212.377,1.54401,
"Jun 8, 01:00 pm",1.99186,0.63177,212.377,1.48809,
"Jun 8, 02:00 pm",1.92226,0.631654,212.377,1.43631,
"Jun 8, 03:00 pm",1.71678,0.63158,212.377,1.28288,
"Jun 8, 04:00 pm",1.34437,0.631393,212.377,1.00482,
"Jun 8, 05:00 pm",0.761989,0.631245,212.377,0.569609,
"Jun 8, 06:00 pm",0.0996999,0.120432,212.377,0.267669,
"Jun 8, 07:00 pm",0.0134481,-1,191.368,0.267669,
"Jun 8, 08:00 pm",-0.0057363,-1,171.506,0.267669,
"Jun 8, 09:00 pm",-0.00284886,-1,153.001,0.267669,
"Jun 8, 10:00 pm",-0.00237126,-1,140.224,0.267669,
"Jun 8, 11:00 pm",-0.0021519,-1,128.396,0.267669,
"Jun 9, 12:00 am",-0.00185159,-1,118.073,0.267669,
"Jun 9, 01:00 am",-0.00165516,-1,108.964,0.267669,
"Jun 9, 02:00 am",-0.00148495,-1,100.78,0.267669,
"Jun 9, 03:00 am",-0.00133851,-1,93.4128,0.267669,
"Jun 9, 04:00 am",-0.00121317,-1,86.7457,0.267669,
"Jun 9, 05:00 am",-0.00106538,-1,80.807,0.267669,
"Jun 9, 06:00 am",0.0226682,-1,145.148,0.267669,
"Jun 9, 07:00 am",0.914601,0.636919,212.377,0.684575,
"Jun 9, 08:00 am",1.51811,0.630208,212.377,1.1366,
"Jun 9, 09:00 am",1.81638,0.632237,212.377,1.35607,
"Jun 9, 10:00 am",1.97167,0.631648,212.377,1.47326,
"Jun 9, 11:00 am",2.04105,0.631822,212.377,1.52474,
"Jun 9, 12:00 pm",2.09905,0.631977,212.377,1.56774,
"Jun 9, 01:00 pm",2.02706,0.631839,212.377,1.51425,
"Jun 9, 02:00 pm",1.9742,0.631727,212.377,1.47499,
"Jun 9, 03:00 pm",1.78244,0.631998,212.377,1.33117,
"Jun 9, 04:00 pm",1.4255,0.630795,212.377,1.06636,
"Jun 9, 05:00 pm",0.845008,0.631422,212.377,0.631517,
"Jun 9, 06:00 pm",0.125097,0.170638,212.377,0.267669,
"Jun 9, 07:00 pm",0.0138013,-1,191.665,0.267669,
"Jun 9, 08:00 pm",-0.00565451,-1,172.147,0.267669,
"Jun 9, 09:00 pm",-0.00292034,-1,153.52,0.267669,
"Jun 9, 10:00 pm",-0.00238089,-1,140.543,0.267669,
"Jun 9, 11:00 pm",-0.00218155,-1,128.622,0.267669,
"Jun 10, 12:00 am",-0.00190194,-1,118.073,0.267669,
"Jun 10, 01:00 am",-0.00169678,-1,108.723,0.267669,
"Jun 10, 02:00 am",-0.00152048,-1,100.337,0.267669,
"Jun 10, 03:00 am",-0.00134837,-1,92.8594,0.267669,
"Jun 10, 04:00 am",-0.00122154,-1,86.1456,0.267669,
"Jun 10, 05:00 am",-0.00105334,-1,80.2246,0.267669,
"Jun 10, 06:00 am",0.0242337,-1,148.643,0.267669,
"Jun 10, 07:00 am",0.962373,0.654284,212.377,0.708635,
"Jun 10, 08:00 am",1.55284,0.630304,212.377,1.16245,
"Jun 10, 09:00 am",1.84535,0.63143,212.377,1.37928,
"Jun 10, 10:00 am",1.99335,0.631689,212.377,1.48938,
"Jun 10, 11:00 am",2.0477,0.631841,212.377,1.52967,
"Jun 10, 12:00 pm",2.09917,0.631977,212.377,1.56783,
"Jun 10, 01:00 pm",2.02324,0.631832,212.377,1.51141,
"Jun 10, 02:00 pm",1.95466,0.631697,212.377,1.46044,
"Jun 10, 03:00 pm",1.75843,0.63178,212.377,1.31365,
"Jun 10, 04:00 pm",1.39874,0.631086,212.377,1.04592,
"Jun 10, 05:00 pm",0.815589,0.631371,212.377,0.609572,
"Jun 10, 06:00 pm",0.117001,0.154634,212.377,0.267669,
"Jun 10, 07:00 pm",0.0137434,-1,191.616,0.267669,
"Jun 10, 08:00 pm",-0.00567029,-1,172.04,0.267669,
"Jun 10, 09:00 pm",-0.00291489,-1,153.401,0.267669,
"Jun 10, 10:00 pm",-0.00240257,-1,140.375,0.267669,
"Jun 10, 11:00 pm",-0.00220055,-1,128.342,0.267669,
