"Time stamp"	Field thermal power leaving in steam | (MWt)	Field timestep-averaged outlet quality	Field timestep-averaged outlet temperature | (C)	Field total mass flow rate | (kg/s)
"Jan 1 12:00 am"	-0.0015519	-1	96.1779	0.220082
"Jan 1 01:00 am"	-0.00139648	-1	86.6743	0.220082
"Jan 1 02:00 am"	-0.00122051	-1	78.3686	0.220082
"Jan 1 03:00 am"	-0.00108529	-1	71.0278	0.220082
"Jan 1 04:00 am"	-0.000967774	-1	64.4872	0.220082
"Jan 1 05:00 am"	-0.000865087	-1	58.6516	0.220082
"Jan 1 06:00 am"	-0.000776357	-1	53.4278	0.220082
"Jan 1 07:00 am"	-0.000698878	-1	48.7366	0.220082
"Jan 1 08:00 am"	0.00160564	-1	52.6416	0.220082
"Jan 1 09:00 am"	0.0214893	-1	135.037	0.220082
"Jan 1 10:00 am"	0.501255	0.596138	212.377	0.321753
"Jan 1 11:00 am"	0.763695	0.605248	212.377	0.46807
"Jan 1 12:00 pm"	0.938919	0.605343	212.377	0.57541
"Jan 1 01:00 pm"	0.977772	0.60516	212.377	0.59935
"Jan 1 02:00 pm"	0.591053	0.605837	212.377	0.362004
"Jan 1 03:00 pm"	0.348874	0.580671	212.377	0.220082
"Jan 1 04:00 pm"	0.0837605	-1	188.528	0.220082
"Jan 1 05:00 pm"	-0.0071834	-1	159.642	0.220082
"Jan 1 06:00 pm"	-0.00375327	-1	127.623	0.220082
"Jan 1 07:00 pm"	-0.00145536	-1	114.02	0.220082
"Jan 1 08:00 pm"	-0.00155473	-1	104.681	0.220082
"Jan 1 09:00 pm"	-0.00150635	-1	94.6323	0.220082
"Jan 1 10:00 pm"	-0.001268	-1	85.8741	0.220082
"Jan 1 11:00 pm"	-0.0011233	-1	78.2921	0.220082
"Jan 2 12:00 am"	-0.00100588	-1	71.5055	0.220082
"Jan 2 01:00 am"	-0.000896957	-1	65.4503	0.220082
"Jan 2 02:00 am"	-0.000803686	-1	60.0412	0.220082
"Jan 2 03:00 am"	-0.000738348	-1	55.1287	0.220082
"Jan 2 04:00 am"	-0.000665612	-1	50.6666	0.220082
"Jan 2 05:00 am"	-0.000601339	-1	46.6463	0.220082
"Jan 2 06:00 am"	-0.000544749	-1	43.0144	0.220082
"Jan 2 07:00 am"	-0.000494534	-1	39.7265	0.220082
"Jan 2 08:00 am"	0.0115487	-1	80.2797	0.220082
"Jan 2 09:00 am"	0.511829	0.070629	205.479	0.414952
"Jan 2 10:00 am"	0.748886	0.604937	212.377	0.459158
"Jan 2 11:00 am"	0.83089	0.604955	212.377	0.509429
"Jan 2 12:00 pm"	0.109766	0.00576785	212.377	0.220082
"Jan 2 01:00 pm"	0.325677	0.524898	212.377	0.220082
"Jan 2 02:00 pm"	0.521822	0.605361	212.377	0.319776
"Jan 2 03:00 pm"	0.741707	0.604455	212.377	0.45501
"Jan 2 04:00 pm"	0.19259	0.204908	212.377	0.220082
"Jan 2 05:00 pm"	0.0783177	-1	182.938	0.220082
"Jan 2 06:00 pm"	-0.00803149	-1	149.698	0.220082
"Jan 2 07:00 pm"	-0.00347496	-1	117.108	0.220082
"Jan 2 08:00 pm"	-0.00118317	-1	105.663	0.220082
"Jan 2 09:00 pm"	-0.00146854	-1	97.2246	0.220082
"Jan 2 10:00 pm"	-0.00139469	-1	87.788	0.220082
"Jan 2 11:00 pm"	-0.00118195	-1	79.6651	0.220082
"Jan 3 12:00 am"	-0.00105466	-1	72.5633	0.220082
"Jan 3 01:00 am"	-0.000963028	-1	66.1176	0.220082
"Jan 3 02:00 am"	-0.000859655	-1	60.3149	0.220082
"Jan 3 03:00 am"	-0.000771219	-1	55.1273	0.220082
"Jan 3 04:00 am"	-0.000694618	-1	50.4668	0.220082
"Jan 3 05:00 am"	-0.000627026	-1	46.2697	0.220082
"Jan 3 06:00 am"	-0.000567419	-1	42.4817	0.220082
"Jan 3 07:00 am"	-0.000514676	-1	39.0556	0.220082
"Jan 3 08:00 am"	0.0152784	-1	92.9992	0.220082
"Jan 3 09:00 am"	0.612789	0.481148	212.377	0.449051
"Jan 3 10:00 am"	0.396519	0.605076	212.377	0.243067
"Jan 3 11:00 am"	0.527925	0.605071	212.377	0.323625
"Jan 3 12:00 pm"	0.889808	0.604887	212.377	0.545599
"Jan 3 01:00 pm"	0.308276	0.483058	212.377	0.220082
"Jan 3 02:00 pm"	0.380134	0.603313	212.377	0.2335
"Jan 3 03:00 pm"	0.290448	0.440192	212.377	0.220082
"Jan 3 04:00 pm"	0.0855258	-1	190.334	0.220082
"Jan 3 05:00 pm"	-0.0072723	-1	161.532	0.220082
"Jan 3 06:00 pm"	-0.00378489	-1	128.675	0.220082
"Jan 3 07:00 pm"	-0.00140199	-1	115.362	0.220082
"Jan 3 08:00 pm"	-0.00156587	-1	106.12	0.220082
"Jan 3 09:00 pm"	-0.00149943	-1	96.0524	0.220082
"Jan 3 10:00 pm"	-0.00125725	-1	87.3635	0.220082
"Jan 3 11:00 pm"	-0.0011152	-1	79.8438	0.220082
"Jan 4 12:00 am"	-0.000999146	-1	73.1057	0.220082
"Jan 4 01:00 am"	-0.000890928	-1	67.0931	0.220082
"Jan 4 02:00 am"	-0.000798441	-1	61.7215	0.220082
"Jan 4 03:00 am"	-0.000718371	-1	56.9001	0.220082
"Jan 4 04:00 am"	-0.000647885	-1	52.5616	0.220082
"Jan 4 05:00 am"	-0.00057115	-1	48.7047	0.220082
"Jan 4 06:00 am"	-0.000517823	-1	45.2587	0.220082
"Jan 4 07:00 am"	-0.000456589	-1	42.1888	0.220082
"Jan 4 08:00 am"	0.00227743	-1	49.2193	0.220082
"Jan 4 09:00 am"	0.104707	-0.732406	162.425	0.228196
"Jan 4 10:00 am"	0.088834	-1	193.709	0.220082
"Jan 4 11:00 am"	0.233592	0.375942	212.377	0.220082
"Jan 4 12:00 pm"	0.890983	0.604958	212.377	0.546274
"Jan 4 01:00 pm"	0.925466	0.605529	212.377	0.567043
"Jan 4 02:00 pm"	0.0896548	-1	194.545	0.220082
"Jan 4 03:00 pm"	0.581367	0.506629	212.377	0.412889
"Jan 4 04:00 pm"	0.129986	0.0543831	212.377	0.220082
"Jan 4 05:00 pm"	0.0747505	-1	179.259	0.220082
"Jan 4 06:00 pm"	-0.00875206	-1	141.932	0.220082
"Jan 4 07:00 pm"	-0.00297344	-1	110.503	0.220082
"Jan 4 08:00 pm"	-0.000944968	-1	101.455	0.220082
"Jan 4 09:00 pm"	-0.00134145	-1	93.963	0.220082
"Jan 4 10:00 pm"	-0.0012672	-1	85.3608	0.220082
"Jan 4 11:00 pm"	-0.00107336	-1	78.0022	0.220082
"Jan 5 12:00 am"	-0.000965388	-1	71.5259	0.220082
"Jan 5 01:00 am"	-0.000852558	-1	65.7398	0.220082
"Jan 5 02:00 am"	-0.000778562	-1	60.5476	0.220082
"Jan 5 03:00 am"	-0.000700972	-1	55.8453	0.220082
"Jan 5 04:00 am"	-0.000632704	-1	51.6112	0.220082
"Jan 5 05:00 am"	-0.000587064	-1	47.7344	0.220082
"Jan 5 06:00 am"	-0.000532182	-1	44.1883	0.220082
"Jan 5 07:00 am"	-0.000455014	-1	41.0857	0.220082
"Jan 5 08:00 am"	0.00414886	-1	54.9154	0.220082
"Jan 5 09:00 am"	0.00282532	-1	78.3715	0.220082
"Jan 5 10:00 am"	0.184815	-0.382772	187.864	0.220082
"Jan 5 11:00 am"	0.329852	0.534935	212.377	0.220082
"Jan 5 12:00 pm"	0.277711	0.40957	212.377	0.220082
"Jan 5 01:00 pm"	0.24216	0.324093	212.377	0.220082
"Jan 5 02:00 pm"	0.251256	0.345962	212.377	0.220082
"Jan 5 03:00 pm"	0.15028	0.103179	212.377	0.220082
"Jan 5 04:00 pm"	0.113919	0.0157521	212.377	0.220082
"Jan 5 05:00 pm"	0.070868	-1	175.24	0.220082
"Jan 5 06:00 pm"	-0.00915926	-1	134.876	0.220082
