Time stamp,Field thermal power leaving in steam | (MWt),Field timestep-averaged outlet quality,Field timestep-averaged outlet temperature | (C),Field total mass flow rate | (kg/s)
"Jun 8, 12:00 am",-0.00276936,-1,141.431,0.29554
"Jun 8, 01:00 am",-0.00240999,-1,129.464,0.29554
"Jun 8, 02:00 am",-0.00213352,-1,118.927,0.29554
"Jun 8, 03:00 am",-0.00190345,-1,109.54,0.29554
"Jun 8, 04:00 am",-0.00170843,-1,101.134,0.29554
"Jun 8, 05:00 am",-0.0014966,-1,93.6951,0.29554
"Jun 8, 06:00 am",0.0268151,-1,162.08,0.29554
"Jun 8, 07:00 am",0.846852,0.538491,269.965,0.776882
"Jun 8, 08:00 am",1.52716,0.623573,269.965,1.27877
"Jun 8, 09:00 am",1.81304,0.625002,269.965,1.51542
"Jun 8, 10:00 am",1.95324,0.625318,269.965,1.63201
"Jun 8, 11:00 am",1.99204,0.625464,269.965,1.66413
"Jun 8, 12:00 pm",2.04048,0.625636,269.965,1.70424
"Jun 8, 01:00 pm",1.96537,0.625437,269.965,1.64189
"Jun 8, 02:00 pm",1.89579,0.625277,269.965,1.58406
"Jun 8, 03:00 pm",1.69031,0.625167,269.965,1.41246
"Jun 8, 04:00 pm",1.31794,0.62494,269.965,1.10146
"Jun 8, 05:00 pm",0.735584,0.624175,269.965,0.61525
"Jun 8, 06:00 pm",0.0845302,0.0572198,269.965,0.29554
"Jun 8, 07:00 pm",0.0117312,-1,238.486,0.29554
"Jun 8, 08:00 pm",-0.0088695,-1,211.426,0.29554
"Jun 8, 09:00 pm",-0.00411973,-1,188.245,0.29554
"Jun 8, 10:00 pm",-0.0037512,-1,170.602,0.29554
"Jun 8, 11:00 pm",-0.00318048,-1,154.732,0.29554
"Jun 9, 12:00 am",-0.00273212,-1,141.191,0.29554
"Jun 9, 01:00 am",-0.00240538,-1,129.308,0.29554
"Jun 9, 02:00 am",-0.00212963,-1,118.788,0.29554
"Jun 9, 03:00 am",-0.00190015,-1,109.418,0.29554
"Jun 9, 04:00 am",-0.00170566,-1,101.026,0.29554
"Jun 9, 05:00 am",-0.00149423,-1,93.5991,0.29554
"Jun 9, 06:00 am",0.0246981,-1,156.529,0.29554
"Jun 9, 07:00 am",0.778895,0.350379,269.396,0.733059
"Jun 9, 08:00 am",1.49152,0.623485,269.965,1.24907
"Jun 9, 09:00 am",1.78955,0.625862,269.965,1.49405
"Jun 9, 10:00 am",1.94499,0.625287,269.965,1.62518
"Jun 9, 11:00 am",2.0144,0.625532,269.965,1.68267
"Jun 9, 12:00 pm",2.07247,0.62576,269.965,1.73069
"Jun 9, 01:00 pm",2.00048,0.625537,269.965,1.67103
"Jun 9, 02:00 pm",1.94765,0.625381,269.965,1.6272
"Jun 9, 03:00 pm",1.75586,0.625604,269.965,1.46641
"Jun 9, 04:00 pm",1.39898,0.624235,269.965,1.17034
"Jun 9, 05:00 pm",0.818483,0.624419,269.965,0.684386
"Jun 9, 06:00 pm",0.107006,0.104614,269.965,0.29554
"Jun 9, 07:00 pm",0.0129487,-1,239.356,0.29554
