%   T[K]              h[J/kg]           rho[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]        Q[-]
   50.00   0.000000000000e+00   1.945723400000e+03   0.000000000000e+00   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   51.00   1.482018200000e+03   1.945723400000e+03   2.934689504950e+01   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   52.00   2.964036400000e+03   1.945723400000e+03   5.812394747669e+01   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   53.00   4.446054600000e+03   1.945723400000e+03   8.635286557193e+01   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   54.00   5.928072800000e+03   1.945723400000e+03   1.140541403383e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   55.00   7.410091000000e+03   1.945723400000e+03   1.412471348337e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   56.00   8.892109200000e+03   1.945723400000e+03   1.679501654643e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   57.00   1.037412740000e+04   1.945723400000e+03   1.941805760838e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   58.00   1.185614560000e+04   1.945723400000e+03   2.199548056490e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   59.00   1.333816380000e+04   1.945723400000e+03   2.452884500935e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   60.00   1.482018200000e+04   1.945723400000e+03   2.701963190010e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   61.00   1.630220020000e+04   1.945723400000e+03   2.946924875961e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   62.00   1.778421840000e+04   1.945723400000e+03   3.187903445066e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   63.00   1.926623660000e+04   1.945723400000e+03   3.425026357066e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   64.00   2.074825480000e+04   1.945723400000e+03   3.658415049980e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   65.00   2.223027300000e+04   1.945723400000e+03   3.888185313546e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   66.00   2.371229120000e+04   1.945723400000e+03   4.114447634156e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   67.00   2.519430940000e+04   1.945723400000e+03   4.337307513856e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   68.00   2.667632760000e+04   1.945723400000e+03   4.556865765707e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   69.00   2.815834580000e+04   1.945723400000e+03   4.773218787605e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   70.00   2.964036400000e+04   1.945723400000e+03   4.986458816382e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   71.00   3.112238220000e+04   1.945723400000e+03   5.196674163900e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   72.00   3.260440040000e+04   1.945723400000e+03   5.403949436627e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   73.00   3.408641860000e+04   1.945723400000e+03   5.608365740075e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   74.00   3.556843680000e+04   1.945723400000e+03   5.810000869327e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   75.00   3.705045500000e+04   1.945723400000e+03   6.008929486777e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   76.00   3.853247320000e+04   1.945723400000e+03   6.205223288101e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   77.00   4.001449140000e+04   1.945723400000e+03   6.398951157382e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
   78.00   4.149650960000e+04   1.945723400000e+03   6.590179312221e+02   1.482018200000e+03   4.861015000000e-01   5.509502048581e-03   1.679727857029e+01   -1.000000
