%   T[K]              h[J/kg]             v[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]
   50.00   0.000000000000e+00   9.117366905692e-04   0.000000000000e+00   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   51.00   2.792845232897e+03   9.117366905692e-04   5.530386599795e+01   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   52.00   5.585690465793e+03   9.117366905692e-04   1.095338705202e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   53.00   8.378535698690e+03   9.117366905692e-04   1.627309225754e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   54.00   1.117138093159e+04   9.117366905692e-04   2.149336372090e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   55.00   1.396422616448e+04   9.117366905692e-04   2.661785038676e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   56.00   1.675707139738e+04   9.117366905692e-04   3.165000395955e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   57.00   1.954991663028e+04   9.117366905692e-04   3.659309286733e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   58.00   2.234276186317e+04   9.117366905692e-04   4.145021501150e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   59.00   2.513560709607e+04   9.117366905692e-04   4.622430942671e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   60.00   2.792845232897e+04   9.117366905692e-04   5.091816696099e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   61.00   3.072129756186e+04   9.117366905692e-04   5.553444007321e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   62.00   3.351414279476e+04   9.117366905692e-04   6.007565183402e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   63.00   3.630698802766e+04   9.117366905692e-04   6.454420420665e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   64.00   3.909983326055e+04   9.117366905692e-04   6.894238567578e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   65.00   4.189267849345e+04   9.117366905692e-04   7.327237828493e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   66.00   4.468552372635e+04   9.117366905692e-04   7.753626413668e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   67.00   4.747836895924e+04   9.117366905692e-04   8.173603140419e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   68.00   5.027121419214e+04   9.117366905692e-04   8.587357989737e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   69.00   5.306405942504e+04   9.117366905692e-04   8.995072622277e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   70.00   5.585690465793e+04   9.117366905692e-04   9.396920857226e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   71.00   5.864974989083e+04   9.117366905692e-04   9.793069117211e+02   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   72.00   6.144259512373e+04   9.117366905692e-04   1.018367684209e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   73.00   6.423544035662e+04   9.117366905692e-04   1.056889687422e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   74.00   6.702828558952e+04   9.117366905692e-04   1.094887581747e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   75.00   6.982113082242e+04   9.117366905692e-04   1.132375437222e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   76.00   7.261397605531e+04   9.117366905692e-04   1.169366764810e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   77.00   7.540682128821e+04   9.117366905692e-04   1.205874545632e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   78.00   7.819966652111e+04   9.117366905692e-04   1.241911258315e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   79.00   8.099251175400e+04   9.117366905692e-04   1.277488904593e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   80.00   8.378535698690e+04   9.117366905692e-04   1.312619033309e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   81.00   8.657820221980e+04   9.117366905692e-04   1.347312762910e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   82.00   8.937104745269e+04   9.117366905692e-04   1.381580802578e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   83.00   9.216389268559e+04   9.117366905692e-04   1.415433472067e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   84.00   9.495673791849e+04   9.117366905692e-04   1.448880720366e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   85.00   9.774958315138e+04   9.117366905692e-04   1.481932143240e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   86.00   1.005424283843e+05   9.117366905692e-04   1.514596999765e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   87.00   1.033352736172e+05   9.117366905692e-04   1.546884227891e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   88.00   1.061281188501e+05   9.117366905692e-04   1.578802459124e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   89.00   1.089209640830e+05   9.117366905692e-04   1.610360032377e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   90.00   1.117138093159e+05   9.117366905692e-04   1.641565007047e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   91.00   1.145066545488e+05   9.117366905692e-04   1.672425175366e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   92.00   1.172994997817e+05   9.117366905692e-04   1.702948074086e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   93.00   1.200923450146e+05   9.117366905692e-04   1.733140995523e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   94.00   1.228851902475e+05   9.117366905692e-04   1.763010998014e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   95.00   1.256780354803e+05   9.117366905692e-04   1.792564915822e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   96.00   1.284708807132e+05   9.117366905692e-04   1.821809368523e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   97.00   1.312637259461e+05   9.117366905692e-04   1.850750769900e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   98.00   1.340565711790e+05   9.117366905692e-04   1.879395336391e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
   99.00   1.368494164119e+05   9.117366905692e-04   1.907749095101e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  100.00   1.396422616448e+05   9.117366905692e-04   1.935817891411e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  101.00   1.424351068777e+05   9.117366905692e-04   1.963607396216e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  102.00   1.452279521106e+05   9.117366905692e-04   1.991123112796e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  103.00   1.480207973435e+05   9.117366905692e-04   2.018370383361e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  104.00   1.508136425764e+05   9.117366905692e-04   2.045354395273e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  105.00   1.536064878093e+05   9.117366905692e-04   2.072080186976e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  106.00   1.563993330422e+05   9.117366905692e-04   2.098552653638e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  107.00   1.591921782751e+05   9.117366905692e-04   2.124776552539e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  108.00   1.619850235080e+05   9.117366905692e-04   2.150756508193e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  109.00   1.647778687409e+05   9.117366905692e-04   2.176497017252e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  110.00   1.675707139738e+05   9.117366905692e-04   2.202002453169e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  111.00   1.703635592067e+05   9.117366905692e-04   2.227277070662e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  112.00   1.731564044396e+05   9.117366905692e-04   2.252325009970e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  113.00   1.759492496725e+05   9.117366905692e-04   2.277150300929e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  114.00   1.787420949054e+05   9.117366905692e-04   2.301756866858e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  115.00   1.815349401383e+05   9.117366905692e-04   2.326148528280e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  116.00   1.843277853712e+05   9.117366905692e-04   2.350329006487e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  117.00   1.871206306041e+05   9.117366905692e-04   2.374301926941e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  118.00   1.899134758370e+05   9.117366905692e-04   2.398070822540e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  119.00   1.927063210699e+05   9.117366905692e-04   2.421639136742e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  120.00   1.954991663028e+05   9.117366905692e-04   2.445010226557e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  121.00   1.982920115357e+05   9.117366905692e-04   2.468187365419e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  122.00   2.010848567686e+05   9.117366905692e-04   2.491173745937e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  123.00   2.038777020015e+05   9.117366905692e-04   2.513972482532e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  124.00   2.066705472343e+05   9.117366905692e-04   2.536586613973e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  125.00   2.094633924672e+05   9.117366905692e-04   2.559019105803e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  126.00   2.122562377001e+05   9.117366905692e-04   2.581272852679e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  127.00   2.150490829330e+05   9.117366905692e-04   2.603350680607e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  128.00   2.178419281659e+05   9.117366905692e-04   2.625255349100e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  129.00   2.206347733988e+05   9.117366905692e-04   2.646989553247e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  130.00   2.234276186317e+05   9.117366905692e-04   2.668555925702e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  131.00   2.262204638646e+05   9.117366905692e-04   2.689957038598e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  132.00   2.290133090975e+05   9.117366905692e-04   2.711195405388e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  133.00   2.318061543304e+05   9.117366905692e-04   2.732273482617e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  134.00   2.345989995633e+05   9.117366905692e-04   2.753193671628e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
  135.00   2.373918447962e+05   9.117366905692e-04   2.773958320199e+03   2.792845232897e+03   3.369974208512e-01   1.584759566428e-01   1.313359665841e+03
