%   T[K]              h[J/kg]           rho[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]        Q[-]
   50.00   0.000000000000e+00   1.069960714286e+03   0.000000000000e+00   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   51.00   1.523464285714e+03   1.069960714286e+03   3.016760961810e+01   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   52.00   3.046928571429e+03   1.069960714286e+03   5.974944040867e+01   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   53.00   4.570392857143e+03   1.069960714286e+03   8.876780775561e+01   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   54.00   6.093857142857e+03   1.069960714286e+03   1.172437757129e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   55.00   7.617321428571e+03   1.069960714286e+03   1.451972488453e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   56.00   9.140785714286e+03   1.069960714286e+03   1.726470557951e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   57.00   1.066425000000e+04   1.069960714286e+03   1.996110254537e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   58.00   1.218771428571e+04   1.069960714286e+03   2.261060565096e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   59.00   1.371117857143e+04   1.069960714286e+03   2.521481810518e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   60.00   1.523464285714e+04   1.069960714286e+03   2.777526228285e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   61.00   1.675810714286e+04   1.069960714286e+03   3.029338506915e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   62.00   1.828157142857e+04   1.069960714286e+03   3.277056276950e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   63.00   1.980503571429e+04   1.069960714286e+03   3.520810562664e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   64.00   2.132850000000e+04   1.069960714286e+03   3.760726198210e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   65.00   2.285196428571e+04   1.069960714286e+03   3.996922211499e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
   66.00   2.437542857143e+04   1.069960714286e+03   4.229512178783e+02   1.523464285714e+03   1.368960714286e-01   5.278406571429e-03   5.874137813551e+01   -1.000000
