%   T[K]              h[J/kg]             v[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]
   50.00   0.000000000000e+00   1.932367149758e-04   0.000000000000e+00   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   51.00   2.360422889000e+02   1.932367149758e-04   4.674104730693e+00   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   52.00   4.720845778000e+02   1.932367149758e-04   9.257450146227e+00   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   53.00   7.081268667000e+02   1.932367149758e-04   1.375349374432e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   54.00   9.441691556000e+02   1.932367149758e-04   1.816549914432e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   55.00   1.180211444500e+03   1.932367149758e-04   2.249655031680e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   56.00   1.416253733400e+03   1.932367149758e-04   2.674956453121e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   57.00   1.652296022300e+03   1.932367149758e-04   3.092730415776e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   58.00   1.888338311200e+03   1.932367149758e-04   3.503238744298e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   59.00   2.124380600100e+03   1.932367149758e-04   3.906729836435e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   60.00   2.360422889000e+03   1.932367149758e-04   4.303439565678e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   61.00   2.596465177900e+03   1.932367149758e-04   4.693592109315e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   62.00   2.832507466800e+03   1.932367149758e-04   5.077400709152e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   63.00   3.068549755700e+03   1.932367149758e-04   5.455068371392e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   64.00   3.304592044600e+03   1.932367149758e-04   5.826788511392e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   65.00   3.540634333500e+03   1.932367149758e-04   6.192745548446e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   66.00   3.776676622400e+03   1.932367149758e-04   6.553115455164e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   67.00   4.012718911300e+03   1.932367149758e-04   6.908066265540e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   68.00   4.248761200200e+03   1.932367149758e-04   7.257758545392e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   69.00   4.484803489100e+03   1.932367149758e-04   7.602345828458e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   70.00   4.720845778000e+03   1.932367149758e-04   7.941975021119e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   71.00   4.956888066900e+03   1.932367149758e-04   8.276786778424e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   72.00   5.192930355800e+03   1.932367149758e-04   8.606915853809e+01   2.360422889000e+02   5.000000000000e+00   0.000000000000e+00   0.000000000000e+00
