"T0, K",Mdot,Mode
286.15,0,str
286.15,0,str
286.15,0,str
286.15,0,str
286.15,0,str
288.15,0,str
291.15,0,str
295.15,0,str
298.15,0.3,chg
300.15,1,chg
301.15,1,chg
302.15,0.855422752,chg
303.15,0.626047944,chg
304.15,0.412158165,chg
304.15,1,chg
303.15,1,chg
301.15,0,str
298.15,0,str
296.15,1,dis
294.15,1,dis
293.15,1,dis
292.15,1,dis
292.15,0,str
291.15,0,str
291.15,0,str
290.15,0,str
290.15,0,str
290.15,0,str
290.15,0,str
291.15,0,str
295.15,0,str
298.15,1,chg
301.15,1,chg
304.15,1,chg
306.15,1,chg
307.15,1,chg
308.15,1,chg
308.15,1,chg
308.15,1,chg
307.15,1,chg
305.15,0,str
302.15,1,dis
300.15,1,dis
298.15,1,dis
296.15,1,dis
295.15,1,dis
294.15,0.6,dis
293.15,0,str
293.15,0,str
292.15,0,str
291.15,0,str
291.15,0,str
290.15,0,str
291.15,0,str
294.15,0,str
298.15,1,chg
302.15,1,chg
305.15,1,chg
306.15,1,chg
307.15,1,chg
308.15,1,chg
308.15,1,chg
308.15,1,chg
307.15,0.873220127,chg
305.15,0,str
301.15,0.93206647,dis
298.15,1,dis
295.15,0.8,dis
293.15,1,dis
292.15,1,dis
291.15,0.8,dis
290.15,0.33,dis
290.15,0,str
289.15,0,str
288.15,0,str
288.15,0,str
288.15,0,str
289.15,0,str
292.15,0,str
295.15,0,str
298.15,0,str
301.15,0,str
304.15,0,str
305.15,0,str
305.15,0,str
304.15,0,str
302.15,0,str
300.15,0,str
297.15,0,str
295.15,0,str
293.15,0,str
291.15,0,str
290.15,0,str
289.15,0,str
289.15,0,str
288.15,0,str
288.15,0,str
287.15,0,str
287.15,0,str
287.15,0,str
287.15,0,str
288.15,0,str
290.15,0,str
293.15,0,str
296.15,0,str
299.15,0,str
300.15,0,str
302.15,1,chg
303.15,1,chg
303.15,1,chg
303.15,1,chg
302.15,1,chg
299.15,1,chg
296.15,0,str
293.15,0.875494941,dis
291.15,1,dis
290.15,1,dis
289.15,1,dis
289.15,0,str
288.15,0,str
287.15,0,str
287.15,0,str
286.15,0,str
286.15,0,str
286.15,0,str
287.15,0,str
290.15,1,chg
293.15,1,chg
296.15,1,chg
298.15,1,chg
301.15,1,chg
303.15,1,chg
304.15,1,chg
305.15,1,chg
304.15,1,chg
303.15,1,chg
301.15,1,chg
298.15,0,str
294.15,1,dis
292.15,1,dis
291.15,1,dis
290.15,1,dis
289.15,1,dis
289.15,1,dis
288.15,1,dis
288.15,0,str
288.15,0,str
287.15,0,str
287.15,0,str
288.15,0,str
291.15,1,chg
294.15,1,chg
297.15,1,chg
300.15,1,chg
301.15,1,chg
302.15,1,chg
303.15,1,chg
302.15,1,chg
301.15,1,chg
299.15,1,chg
297.15,1,chg
295.15,0,str
293.15,0.8,dis
291.15,1,dis
289.15,1,dis
288.15,0.881680041,dis
287.15,0.8,dis
287.15,0,str
287.15,0.33,dis
286.15,0.33,dis
286.15,0.33,dis
285.15,0.33,dis
285.15,0.348372112,dis
287.15,0.829031745,dis
289.15,1,chg
292.15,1,chg
295.15,1,chg
298.15,1,chg
300.15,1,chg
302.15,1,chg
303.15,1,chg
303.15,1,chg
303.15,1,chg
302.15,1,chg
299.15,0,str
296.15,1,dis
292.15,1,dis
290.15,1,dis
290.15,1,dis
289.15,1,dis
289.15,0.8,dis
288.15,0,str
