%   T[K]              h[J/kg]           rho[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]        Q[-]
   50.00   0.000000000000e+00   9.041346466678e+02   0.000000000000e+00   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   51.00   2.188816317864e+03   9.041346466678e+02   4.334289738346e+01   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   52.00   4.377632635729e+03   9.041346466678e+02   8.584418510898e+01   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   53.00   6.566448953593e+03   9.041346466678e+02   1.275359244969e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   54.00   8.755265271458e+03   9.041346466678e+02   1.684483790364e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   55.00   1.094408158932e+04   9.041346466678e+02   2.086101463367e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   56.00   1.313289790719e+04   9.041346466678e+02   2.480482781901e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   57.00   1.532171422505e+04   9.041346466678e+02   2.867883900107e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   58.00   1.751053054292e+04   9.041346466678e+02   3.248547607562e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   59.00   1.969934686078e+04   9.041346466678e+02   3.622704243094e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   60.00   2.188816317864e+04   9.041346466678e+02   3.990572531811e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   61.00   2.407697949651e+04   9.041346466678e+02   4.352360352945e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   62.00   2.626579581437e+04   9.041346466678e+02   4.708265445281e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   63.00   2.845461213224e+04   9.041346466678e+02   5.058476056139e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   64.00   3.064342845010e+04   9.041346466678e+02   5.403171539268e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   65.00   3.283224476797e+04   9.041346466678e+02   5.742522906378e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   66.00   3.502106108583e+04   9.041346466678e+02   6.076693336587e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   67.00   3.720987740370e+04   9.041346466678e+02   6.405838647544e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   68.00   3.939869372156e+04   9.041346466678e+02   6.730107731672e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   69.00   4.158751003943e+04   9.041346466678e+02   7.049642960557e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   70.00   4.377632635729e+04   9.041346466678e+02   7.364580560250e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   71.00   4.596514267515e+04   9.041346466678e+02   7.675050959947e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   72.00   4.815395899302e+04   9.041346466678e+02   7.981179116292e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   73.00   5.034277531088e+04   9.041346466678e+02   8.283084815307e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   74.00   5.253159162875e+04   9.041346466678e+02   8.580882953792e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   75.00   5.472040794661e+04   9.041346466678e+02   8.874683801828e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
   76.00   5.690922426448e+04   9.041346466678e+02   9.164593247903e+02   2.188816317864e+03   2.203504816352e-01   1.257463196896e-02   1.249080984101e+02   -1.000000
