%   T[K]              h[J/kg]           rho[m3/kg]          s[J/(kg.K)]           Cp[J/kg/K]             k[W/m.K]             mu[Pa.s]                Pr[-]        Q[-]
   50.00   0.000000000000e+00   7.326602858220e+02   0.000000000000e+00   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   51.00   1.916178460950e+03   7.326602858220e+02   3.794412793961e+01   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   52.00   3.832356921901e+03   7.326602858220e+02   7.515147669593e+01   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   53.00   5.748535382851e+03   7.326602858220e+02   1.116501140474e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   54.00   7.664713843802e+03   7.326602858220e+02   1.474665338782e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   55.00   9.580892304752e+03   7.326602858220e+02   1.826257716938e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   56.00   1.149707076570e+04   7.326602858220e+02   2.171515097290e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   57.00   1.341324922665e+04   7.326602858220e+02   2.510661727546e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   58.00   1.532942768760e+04   7.326602858220e+02   2.843910155538e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   59.00   1.724560614855e+04   7.326602858220e+02   3.171462029205e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   60.00   1.916178460950e+04   7.326602858220e+02   3.493508829364e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   61.00   2.107796307045e+04   7.326602858220e+02   3.810232541918e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   62.00   2.299414153141e+04   7.326602858220e+02   4.121806275406e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   63.00   2.491031999236e+04   7.326602858220e+02   4.428394829158e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   64.00   2.682649845331e+04   7.326602858220e+02   4.730155216709e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   65.00   2.874267691426e+04   7.326602858220e+02   5.027237148640e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   66.00   3.065885537521e+04   7.326602858220e+02   5.319783478556e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   67.00   3.257503383616e+04   7.326602858220e+02   5.607930615541e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   68.00   3.449121229711e+04   7.326602858220e+02   5.891808906052e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   69.00   3.640739075806e+04   7.326602858220e+02   6.171542987942e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   70.00   3.832356921901e+04   7.326602858220e+02   6.447252119014e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   71.00   4.023974767996e+04   7.326602858220e+02   6.719050482270e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   72.00   4.215592614091e+04   7.326602858220e+02   6.987047469815e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   73.00   4.407210460186e+04   7.326602858220e+02   7.251347947188e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   74.00   4.598828306281e+04   7.326602858220e+02   7.512052499698e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   75.00   4.790446152376e+04   7.326602858220e+02   7.769257662242e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   76.00   4.982063998471e+04   7.326602858220e+02   8.023056133891e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   77.00   5.173681844566e+04   7.326602858220e+02   8.273536978460e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   78.00   5.365299690661e+04   7.326602858220e+02   8.520785812131e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   79.00   5.556917536756e+04   7.326602858220e+02   8.764884979131e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   80.00   5.748535382851e+04   7.326602858220e+02   9.005913716357e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   81.00   5.940153228946e+04   7.326602858220e+02   9.243948307779e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   82.00   6.131771075041e+04   7.326602858220e+02   9.479062229368e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   83.00   6.323388921136e+04   7.326602858220e+02   9.711326285241e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   84.00   6.515006767232e+04   7.326602858220e+02   9.940808735654e+02   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   85.00   6.706624613327e+04   7.326602858220e+02   1.016757541742e+03   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   86.00   6.898242459422e+04   7.326602858220e+02   1.039168985730e+03   1.916178460950e+03   2.082191512946e-01   1.034393028468e-02   9.519209107253e+01   -1.000000
   87.00   7.089899075681e+04   7.316174217964e+02   1.061325819980e+03   1.916953864232e+03   2.079459075436e-01   9.471301457196e-03   8.731139815232e+01   -1.000000
   88.00   7.281635588173e+04   7.305760299743e+02   1.083238564265e+03   1.917776385622e+03   2.076638568784e-01   8.699928482031e-03   8.034386748971e+01   -1.000000
   89.00   7.473456538626e+04   7.295360794014e+02   1.104913247932e+03   1.918642623430e+03   2.073731808414e-01   8.014975421980e-03   7.415555573752e+01   -1.000000
   90.00   7.665366140805e+04   7.284975387101e+02   1.126355661583e+03   1.919549420148e+03   2.070740572012e-01   7.404244609500e-03   6.863637888249e+01   -1.000000
   91.00   7.857368304214e+04   7.274603761632e+02   1.147571370247e+03   1.920493848028e+03   2.067666600455e-01   6.857624982199e-03   6.369511693761e+01   -1.000000
   92.00   8.049466656399e+04   7.264245596939e+02   1.168565725677e+03   1.921473195670e+03   2.064511598716e-01   6.366672423582e-03   5.925561481530e+01   -1.000000
   93.00   8.241664563958e+04   7.253900569432e+02   1.189343877845e+03   1.922484955519e+03   2.061277236758e-01   5.924286754883e-03   5.525385889553e+01   -1.000000
   94.00   8.433965152343e+04   7.243568352943e+02   1.209910785694e+03   1.923526812190e+03   2.057965150406e-01   5.524460437379e-03   5.163570321920e+01   -1.000000
   95.00   8.626371324529e+04   7.233248619045e+02   1.230271227195e+03   1.924596631530e+03   2.054576942196e-01   5.162081131054e-03   4.835508348446e+01   -1.000000
   96.00   8.818885778624e+04   7.222941037339e+02   1.250429808776e+03   1.925692450360e+03   2.051114182218e-01   4.832775155257e-03   4.537260144484e+01   -1.000000
   97.00   9.011511024483e+04   7.212645275728e+02   1.270390974150e+03   1.926812466818e+03   2.047578408924e-01   4.532782334923e-03   4.265439347395e+01   -1.000000
   98.00   9.204249399387e+04   7.202361000660e+02   1.290159012602e+03   1.927955031273e+03   2.043971129927e-01   4.258855160940e-03   4.017121922503e+01   -1.000000
   99.00   9.397103082838e+04   7.192087877348e+02   1.309738066759e+03   1.929118637731e+03   2.040293822774e-01   4.008176953962e-03   3.789772227363e+01   -1.000000
  100.00   9.590074110510e+04   7.181825569980e+02   1.329132139892e+03   1.930301915714e+03   2.036547935704e-01   3.778295003787e-03   3.581182625796e+01   -1.000000
  101.00   9.783164387423e+04   7.171573741900e+02   1.348345102769e+03   1.931503622558e+03   2.032734888383e-01   3.567065601112e-03   3.389423859364e+01   -1.000000
  102.00   9.976375700355e+04   7.161332055779e+02   1.367380700102e+03   1.932722636083e+03   2.028856072620e-01   3.372608581308e-03   3.212804020802e+01   -1.000000
  103.00   1.016970972954e+05   7.151100173759e+02   1.386242556608e+03   1.933957947629e+03   2.024912853066e-01   3.193269527606e-03   3.049834452127e+01   -1.000000
  104.00   1.036316805969e+05   7.140877757598e+02   1.404934182710e+03   1.935208655394e+03   2.020906567890e-01   3.027588180937e-03   2.899201252454e+01   -1.000000
  105.00   1.055675219036e+05   7.130664468787e+02   1.423458979903e+03   1.936473958062e+03   2.016838529442e-01   2.874271909162e-03   2.759741357193e+01   -1.000000
  106.00   1.075046354570e+05   7.120459968658e+02   1.441820245812e+03   1.937753148691e+03   2.012710024893e-01   2.732173323538e-03   2.630422363368e+01   -1.000000
  107.00   1.094430348358e+05   7.110263918483e+02   1.460021178946e+03   1.939045608824e+03   2.008522316861e-01   2.600271312736e-03   2.510325440939e+01   -1.000000
  108.00   1.113827330416e+05   7.100075979560e+02   1.478064883186e+03   1.940350802821e+03   2.004276644016e-01   2.477654907107e-03   2.398630799033e+01   -1.000000
  109.00   1.133237425792e+05   7.089895813287e+02   1.495954372012e+03   1.941668272366e+03   1.999974221670e-01   2.363509497930e-03   2.294605277329e+01   -1.000000
  110.00   1.152660755310e+05   7.079723081231e+02   1.513692572484e+03   1.942997631154e+03   1.995616242359e-01   2.257105024908e-03   2.197591713063e+01   -1.000000
  111.00   1.172097436264e+05   7.069557445187e+02   1.531282329004e+03   1.944338559720e+03   1.991203876393e-01   2.157785815697e-03   2.106999797870e+01   -1.000000
  112.00   1.191547583065e+05   7.059398567230e+02   1.548726406852e+03   1.945690800423e+03   1.986738272408e-01   2.064961817612e-03   2.022298189727e+01   -1.000000
  113.00   1.211011307830e+05   7.049246109760e+02   1.566027495532e+03   1.947054152553e+03   1.982220557896e-01   1.978101007048e-03   1.943007686304e+01   -1.000000
  114.00   1.230488720930e+05   7.039099735544e+02   1.583188211920e+03   1.948428467575e+03   1.977651839721e-01   1.896722798803e-03   1.868695299172e+01   -1.000000
  115.00   1.249979931491e+05   7.028959107754e+02   1.600211103240e+03   1.949813644495e+03   1.973033204629e-01   1.820392307307e-03   1.798969095296e+01   -1.000000
  116.00   1.269485047840e+05   7.018823890003e+02   1.617098649862e+03   1.951209625361e+03   1.968365719741e-01   1.748715336051e-03   1.733473694191e+01   -1.000000
  117.00   1.289004177921e+05   7.008693746372e+02   1.633853267958e+03   1.952616390897e+03   1.963650433034e-01   1.681333991464e-03   1.671886327157e+01   -1.000000
  118.00   1.308537429657e+05   6.998568341444e+02   1.650477311988e+03   1.954033956287e+03   1.958888373823e-01   1.617922833882e-03   1.613913379805e+01   -1.000000
  119.00   1.328084911274e+05   6.988447340337e+02   1.666973077066e+03   1.955462367108e+03   1.954080553218e-01   1.558185491802e-03   1.559287351370e+01   -1.000000
  120.00   1.347646731587e+05   6.978330408729e+02   1.683342801177e+03   1.956901695447e+03   1.949227964588e-01   1.501851676883e-03   1.507764174430e+01   -1.000000
  121.00   1.367223000245e+05   6.968217212896e+02   1.699588667284e+03   1.958352036191e+03   1.944331584004e-01   1.448674546511e-03   1.459120847121e+01   -1.000000
  122.00   1.386813827944e+05   6.958107419742e+02   1.715712805307e+03   1.959813503533e+03   1.939392370688e-01   1.398428368557e-03   1.413153337016e+01   -1.000000
  123.00   1.406419326600e+05   6.948000696839e+02   1.731717294006e+03   1.961286227691e+03   1.934411267444e-01   1.350906449559e-03   1.369674721715e+01   -1.000000
  124.00   1.426039609498e+05   6.937896712463e+02   1.747604162749e+03   1.962770351870e+03   1.929389201093e-01   1.305919293034e-03   1.328513536226e+01   -1.000000
  125.00   1.445674791404e+05   6.927795135641e+02   1.763375393196e+03   1.964266029469e+03   1.924327082896e-01   1.263292959310e-03   1.289512301363e+01   -1.000000
  126.00   1.465324988659e+05   6.917695636198e+02   1.779032920890e+03   1.965773421566e+03   1.919225808974e-01   1.222867602215e-03   1.252526210980e+01   -1.000000
  127.00   1.484990319241e+05   6.907597884804e+02   1.794578636764e+03   1.967292694666e+03   1.914086260727e-01   1.184496161279e-03   1.217421958851e+01   -1.000000
  128.00   1.504670902808e+05   6.897501553036e+02   1.810014388581e+03   1.968824018751e+03   1.908909305243e-01   1.148043190979e-03   1.184076688586e+01   -1.000000
  129.00   1.524366860729e+05   6.887406313432e+02   1.825341982295e+03   1.970367565605e+03   1.903695795709e-01   1.113383810985e-03   1.152377052142e+01   -1.000000
  130.00   1.544078316095e+05   6.877311839559e+02   1.840563183349e+03   1.971923507447e+03   1.898446571810e-01   1.080402763423e-03   1.122218364393e+01   -1.000000
  131.00   1.563805393711e+05   6.867217806078e+02   1.855679717921e+03   1.973492015841e+03   1.893162460130e-01   1.048993564987e-03   1.093503842786e+01   -1.000000
  132.00   1.583548220095e+05   6.857123888818e+02   1.870693274106e+03   1.975073260902e+03   1.887844274548e-01   1.019057743238e-03   1.066143922526e+01   -1.000000
  133.00   1.603306923453e+05   6.847029764847e+02   1.885605503056e+03   1.976667410769e+03   1.882492816625e-01   9.905041477724e-04   1.040055638907e+01   -1.000000
  134.00   1.623081633664e+05   6.836935112551e+02   1.900418020068e+03   1.978274631341e+03   1.877108875989e-01   9.632483280703e-04   1.015162069435e+01   -1.000000
  135.00   1.642872482252e+05   6.826839611713e+02   1.915132405635e+03   1.979895086267e+03   1.871693230712e-01   9.372119708268e-04   9.913918292713e+00   -1.000000
  136.00   1.662679602369e+05   6.816742943590e+02   1.929750206459e+03   1.981528937149e+03   1.866246647684e-01   9.123223904320e-04   9.686786143159e+00   -1.000000
  137.00   1.682503128774e+05   6.806644790998e+02   1.944272936427e+03   1.983176343965e+03   1.860769882977e-01   8.885120670063e-04   9.469607868950e+00   -1.000000
  138.00   1.702343197823e+05   6.796544838385e+02   1.958702077553e+03   1.984837465659e+03   1.855263682202e-01   8.657182270482e-04   9.261809996249e+00   -1.000000
  139.00   1.722199947455e+05   6.786442771917e+02   1.973039080898e+03   1.986512460901e+03   1.849728780858e-01   8.438824623209e-04   9.062858535177e+00   -1.000000
  140.00   1.742073517205e+05   6.776338279548e+02   1.987285367456e+03   1.988201488966e+03   1.844165904673e-01   8.229503830971e-04   8.872255868481e+00   -1.000000
  141.00   1.761964048203e+05   6.766231051095e+02   2.001442329021e+03   1.989904710728e+03   1.838575769933e-01   8.028713023180e-04   8.689537916889e+00   -1.000000
  142.00   1.781871683205e+05   6.756120778308e+02   2.015511329023e+03   1.991622289724e+03   1.832959083804e-01   7.835979476020e-04   8.514271553663e+00   -1.000000
  143.00   1.801796566620e+05   6.746007154932e+02   2.029493703349e+03   1.993354393275e+03   1.827316544639e-01   7.650861983740e-04   8.346052243863e+00   -1.000000
  144.00   1.821738844555e+05   6.735889876767e+02   2.043390761143e+03   1.995101193630e+03   1.821648842274e-01   7.472948456813e-04   8.184501886494e+00   -1.000000
  145.00   1.841698664869e+05   6.725768641720e+02   2.057203785582e+03   1.996862869120e+03   1.815956658317e-01   7.301853725214e-04   8.029266840064e+00   -1.000000
  146.00   1.861676177241e+05   6.715643149846e+02   2.070934034635e+03   1.998639605289e+03   1.810240666418e-01   7.137217527383e-04   7.880016114111e+00   -1.000000
  147.00   1.881671533247e+05   6.705513103389e+02   2.084582741806e+03   2.000431595990e+03   1.804501532525e-01   6.978702667438e-04   7.736439711098e+00   -1.000000
  148.00   1.901684886449e+05   6.695378206806e+02   2.098151116859e+03   2.002239044421e+03   1.798739915133e-01   6.825993325042e-04   7.598247104753e+00   -1.000000
  149.00   1.921716392492e+05   6.685238166787e+02   2.111640346517e+03   2.004062164098e+03   1.792956465513e-01   6.678793503893e-04   7.465165842243e+00   -1.000000
  150.00   1.941766209211e+05   6.675092692262e+02   2.125051595158e+03   2.005901179731e+03   1.787151827931e-01   6.536825606233e-04   7.336940258973e+00   -1.000000
  151.00   1.961834496750e+05   6.664941494404e+02   2.138386005483e+03   2.007756328016e+03   1.781326639844e-01   6.399829122042e-04   7.213330295855e+00   -1.000000
  152.00   1.981921417681e+05   6.654784286613e+02   2.151644699167e+03   2.009627858314e+03   1.775481532095e-01   6.267559422688e-04   7.094110409930e+00   -1.000000
